ImageInput,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
224,R18,1,0.9242424242424242,0.8846926003494727,0.8723446364955798,0.8783215504631887,0.9557959193465198,0.060137227496801,15,0.9579759862778731,0.7867132867132867
224,R18,2,0.9242424242424242,0.8897876707935082,0.8644280248053833,0.8762903845438885,0.9595263227338698,0.04751027413942396,21,0.9631217838765008,0.7657342657342657
224,R18,3,0.9221763085399449,0.884136917460769,0.8644610106874258,0.8737976914136802,0.9533369717760799,0.06784986642761334,11,0.9596912521440824,0.7692307692307693
224,R18,4,0.9221763085399449,0.884136917460769,0.8644610106874258,0.8737976914136802,0.9582278784680156,0.057713840379512334,18,0.9596912521440824,0.7692307692307693
224,R18,5,0.9290633608815427,0.9024730753889111,0.86611030478955,0.8826767916468914,0.9530790821528385,0.053211808950158354,20,0.9699828473413379,0.7622377622377622
224,R34,1,0.9290633608815427,0.9035448547193408,0.8647908695078507,0.8823393353206213,0.9530311026880495,0.0387748896417912,14,0.9708404802744426,0.7587412587412588
224,R34,2,0.9263085399449036,0.8976864778619864,0.861756168359942,0.8781205505457996,0.9601590519257757,0.04407150118535949,18,0.9682675814751286,0.7552447552447552
224,R34,3,0.928374655647383,0.9007532238770655,0.8656814883229977,0.8817070877984584,0.9591724741810504,0.04698595461835722,13,0.9691252144082333,0.7622377622377622
224,R34,4,0.9297520661157025,0.9020955267558528,0.8691779918195013,0.8843121877450781,0.9600810852954936,0.047637779143367864,16,0.9691252144082333,0.7692307692307693
224,R34,5,0.9207988980716253,0.8720111920073832,0.8807560364164138,0.8762802269899967,0.9520625172426203,0.048003868396923,19,0.9468267581475128,0.8146853146853147
224,R50,1,0.928374655647383,0.8867924528301887,0.8867924528301887,0.8867924528301887,0.963208746656431,0.05037505053517236,16,0.9554030874785592,0.8181818181818182
224,R50,2,0.9269972451790633,0.8953923593185338,0.867462725953292,0.8804537277819721,0.9604139428324676,0.04625696304514315,13,0.9656946826758147,0.7692307692307693
224,R50,3,0.9290633608815427,0.8913326676396036,0.8819435281699433,0.886526609220301,0.9576281351581524,0.04527135058817532,17,0.9596912521440824,0.8041958041958042
224,R50,4,0.9297520661157025,0.8945413758723828,0.8797334740730967,0.8868630201028518,0.9617483716969135,0.045285085380625666,13,0.9622641509433962,0.7972027972027972
224,R50,5,0.9228650137741047,0.883231555333998,0.8688481329990764,0.8757711593286216,0.9537987741246747,0.05830866798275571,10,0.9579759862778731,0.7797202797202797
224,R101,1,0.9221763085399449,0.883308141672454,0.8657804459691252,0.8741454097775937,0.963898451462774,0.04855818926416047,14,0.9588336192109777,0.7727272727272727
224,R101,2,0.9297520661157025,0.8861689753621655,0.8942472621717905,0.8901240429699091,0.9663394067339178,0.0460201611058077,19,0.9528301886792453,0.8356643356643356
224,R101,3,0.9256198347107438,0.8869418660850383,0.8745217047103839,0.8805338859093126,0.9564436421211722,0.04437916927810009,17,0.9588336192109777,0.7902097902097902
224,R101,4,0.928374655647383,0.8940159842678499,0.8749175352948937,0.8840095245410553,0.9625100457004401,0.04668992954097548,18,0.9631217838765008,0.7867132867132867
224,R101,5,0.9256198347107438,0.8869418660850383,0.8745217047103839,0.8805338859093126,0.9639434322110138,0.03756953799372238,19,0.9588336192109777,0.7902097902097902
224,R152,1,0.9207988980716253,0.8890947450829488,0.8517284602190263,0.8686312967171985,0.9578770286317455,0.042140897007049136,18,0.9656946826758147,0.7377622377622378
224,R152,2,0.9221763085399449,0.8809345794392524,0.8697387518142234,0.8751726042529688,0.9604319351317635,0.046371896221260235,18,0.9562607204116638,0.7832167832167832
224,R152,3,0.9228650137741047,0.88929141833197,0.8596120860271803,0.8733300099700897,0.9549232928306685,0.04405605560684584,16,0.9639794168096055,0.7552447552447552
224,R152,4,0.9269972451790633,0.890017447657029,0.8753793376434886,0.8824262757931597,0.9626809725437514,0.04286377991372695,17,0.9605488850771869,0.7902097902097902
224,R152,5,0.9256198347107438,0.888588080466253,0.8718828341469851,0.8798794014192394,0.9608397605824708,0.03823602790782854,19,0.9605488850771869,0.7832167832167832
224,D121,1,0.9242424242424242,0.8863132167700696,0.869705765932181,0.8776549458899661,0.9579699888447745,0.053897091914647616,12,0.9596912521440824,0.7797202797202797
224,D121,2,0.9235537190082644,0.8855895320007416,0.8679575141839293,0.8763729246487868,0.960917727212753,0.05220130383613334,13,0.9596912521440824,0.7762237762237763
224,D121,3,0.918732782369146,0.8735494880546075,0.867594669481462,0.8705244735163695,0.9606448440067651,0.053610088787869686,12,0.9519725557461407,0.7832167832167832
224,D121,4,0.9325068870523416,0.9037590608762589,0.8774904340942076,0.8897859789572826,0.9683545442550588,0.04545592407681921,14,0.9682675814751286,0.7867132867132867
224,D121,5,0.9214876033057852,0.8772685942898708,0.8732682411927695,0.8752472023924369,0.9467218030682867,0.052854305878165225,12,0.9528301886792453,0.7937062937062938
224,D169,1,0.931129476584022,0.9077138103161397,0.8673967541892069,0.885601553045583,0.9568244791229354,0.05255756761475458,10,0.9725557461406518,0.7622377622377622
224,D169,2,0.9304407713498623,0.9048663741523734,0.8682873730043541,0.8849549121974372,0.958503760390553,0.03493883804775589,16,0.9708404802744426,0.7657342657342657
224,D169,3,0.9256198347107438,0.8810730607157695,0.8850771869639795,0.8830541237113403,0.960219026256762,0.032819191787594695,17,0.9519725557461407,0.8181818181818182
224,D169,4,0.9263085399449036,0.8997936884695891,0.8591172977965431,0.8774166314900802,0.9627229545754417,0.04278666719644404,13,0.9699828473413379,0.7482517482517482
224,D169,5,0.9228650137741047,0.8794689943626113,0.8754453094075736,0.8774358479644994,0.9545334596792574,0.04265410783615989,16,0.9536878216123499,0.7972027972027972
224,D201,1,0.931129476584022,0.9088455149501662,0.8660773189075076,0.8852699947849998,0.95671652532716,0.03738592277593824,10,0.9734133790737565,0.7587412587412588
224,D201,2,0.928374655647383,0.8940159842678499,0.8749175352948937,0.8840095245410553,0.9605518837937362,0.034112450068814526,14,0.9631217838765008,0.7867132867132867
224,D201,3,0.9249311294765841,0.8870351912663919,0.8714540176804328,0.8789332652019959,0.960872746464513,0.043206884873192776,10,0.9596912521440824,0.7832167832167832
224,D201,4,0.9263085399449036,0.8876635514018691,0.8762699564586357,0.8818006075669704,0.9574062301335029,0.038301932200097526,12,0.9588336192109777,0.7937062937062938
224,D201,5,0.9256198347107438,0.8903117828297556,0.8692439635835862,0.8792147293700089,0.9555650181722223,0.03427125723148755,14,0.9622641509433962,0.7762237762237763
224,D264d,1,0.8815426997245179,0.821314703675919,0.7877028631745613,0.8026643910301996,0.9160419340522257,0.10747148652942878,37,0.9425385934819898,0.6328671328671329
224,D264d,2,0.8842975206611571,0.828099173553719,0.788098693759071,0.8055555555555556,0.922006381268817,0.09846444177740335,33,0.9468267581475128,0.6293706293706294
224,D264d,3,0.8808539944903582,0.8198129175054332,0.787274046708009,0.8018044602596623,0.9092948218162625,0.1048431847610762,37,0.9416809605488851,0.6328671328671329
224,D264d,4,0.8822314049586777,0.8205562926925156,0.7934094207679113,0.8057765161144977,0.9224262015857214,0.09564134019243682,38,0.9399656946826758,0.6468531468531469
224,D264d,5,0.8849862258953168,0.8310829817158931,0.7858886396622246,0.8052748696460105,0.9117987501349422,0.1180212468107539,30,0.9493996569468267,0.6223776223776224
224,Eff_b0,1,0.9214876033057852,0.8746097691257642,0.8785459823195672,0.8765571305841924,0.9510639446316976,0.05139156800734727,12,0.9493996569468267,0.8076923076923077
224,Eff_b0,2,0.9180440771349863,0.8721034125409131,0.8671658530149096,0.869601736953042,0.9411861723182476,0.05463423858279885,12,0.951114922813036,0.7832167832167832
224,Eff_b0,3,0.9146005509641874,0.8696597706879362,0.855785723710252,0.8624609263995453,0.9462809917355371,0.06199710899268322,10,0.9528301886792453,0.7587412587412588
224,Eff_b0,4,0.912534435261708,0.8712033192334954,0.8439437920569997,0.8565680528602153,0.9331556093991771,0.05382899439685344,11,0.9571183533447685,0.7307692307692307
224,Eff_b0,5,0.9111570247933884,0.8598701122987418,0.8589193825042882,0.859393473523488,0.9407003802372584,0.05467789942233106,11,0.9451114922813036,0.7727272727272727
224,Eff_b1,1,0.9235537190082644,0.8795156271140576,0.8785129964375247,0.879012988845792,0.9563986613729323,0.0333232515604145,11,0.9528301886792453,0.8041958041958042
224,Eff_b1,2,0.9201101928374655,0.8819444444444444,0.8592162554426706,0.8699065420560748,0.9540356727320708,0.025438833574479156,14,0.9596912521440824,0.7587412587412588
224,Eff_b1,3,0.9263085399449036,0.8976864778619864,0.861756168359942,0.8781205505457996,0.9593973779222492,0.024190524697963393,11,0.9682675814751286,0.7552447552447552
224,Eff_b1,4,0.9263085399449036,0.8956726307734888,0.8643950389233408,0.8788134066237501,0.9584167976106226,0.02559175867481252,12,0.9665523156089194,0.7622377622377622
224,Eff_b1,5,0.9180440771349863,0.8671957671957672,0.877721335268505,0.8723061790217295,0.9514627739327568,0.032158778507010044,15,0.9442538593481989,0.8111888111888111
224,Eff_b2,1,0.9118457300275482,0.8624878108239883,0.8567093284074416,0.8595519712719941,0.9401875997073252,0.04528570433554059,11,0.9476843910806175,0.7657342657342657
224,Eff_b2,2,0.912534435261708,0.865233644859813,0.854499274310595,0.8597072631869649,0.9274940325540668,0.04430988392100361,11,0.9502572898799314,0.7587412587412588
224,Eff_b2,3,0.9097796143250688,0.8614070407963538,0.8488257025992875,0.8548947061269172,0.9464819057443414,0.04914136627299332,10,0.9493996569468267,0.7482517482517482
224,Eff_b2,4,0.9139118457300276,0.8719232380471176,0.8487597308352025,0.8596173703200956,0.9316322613921242,0.04693370636158944,11,0.9562607204116638,0.7412587412587412
224,Eff_b2,5,0.9228650137741047,0.8737326388888889,0.8873202269428684,0.8802781025186477,0.9421757487795224,0.03813949221488133,11,0.9459691252144082,0.8286713286713286
224,Eff_b3,1,0.9049586776859504,0.851426133593369,0.8458239873334212,0.8485794690276187,0.9329726876896687,0.050031471413640255,12,0.9433962264150944,0.7482517482517482
224,Eff_b3,2,0.8946280991735537,0.8371306448034844,0.8235585169547434,0.8300622896872053,0.9286905204572442,0.06794488316133113,11,0.9408233276157805,0.7062937062937062
224,Eff_b3,3,0.8966942148760331,0.8445132639943906,0.8182477899459032,0.8303526919242272,0.9174963115786443,0.047603525018001656,12,0.9476843910806175,0.6888111888111889
224,Eff_b3,4,0.9104683195592287,0.8680807136457481,0.8400184720939438,0.8529723330009971,0.9309125694202882,0.061501738443383955,10,0.9562607204116638,0.7237762237762237
224,Eff_b3,5,0.90633608815427,0.8509110332957446,0.8545982319567225,0.8527348224513173,0.935926423490746,0.039106299334809067,14,0.9399656946826758,0.7692307692307693
224,Eff_b4,1,0.8794765840220385,0.8223390733979516,0.7745414962396094,0.7947189200324767,0.8966282431119481,0.08079595714376069,13,0.9476843910806175,0.6013986013986014
224,Eff_b4,2,0.878099173553719,0.8144358452949236,0.7842393455601002,0.7978064305995143,0.9020229341841692,0.08492607894907518,15,0.9391080617495712,0.6293706293706294
224,Eff_b4,3,0.8849862258953168,0.841245211381282,0.7700554162818314,0.7979459959419879,0.8913624968513476,0.0841458041082905,13,0.9596912521440824,0.5804195804195804
224,Eff_b4,4,0.8746556473829201,0.812472123104371,0.7689009104103444,0.7874673074881535,0.8989492497211192,0.07638079849379897,16,0.9433962264150944,0.5944055944055944
224,Eff_b4,5,0.8863636363636364,0.8367158572770087,0.7827879667502309,0.8052725477207427,0.9099155561419714,0.07919638053692385,14,0.9536878216123499,0.6118881118881119
224,Eff_b5,1,0.9290633608815427,0.895609917982269,0.8753463517614462,0.8849660373062749,0.9681026520649162,0.019399937055201447,11,0.9639794168096055,0.7867132867132867
224,Eff_b5,2,0.928374655647383,0.8987183981925129,0.8683203588863966,0.8823778664007976,0.9488568892514004,0.01299726830412883,16,0.967409948542024,0.7692307692307693
224,Eff_b5,3,0.9331955922865014,0.906447520445844,0.8765998152790606,0.8904496151766998,0.9606748311722583,0.02126140121396667,12,0.9699828473413379,0.7832167832167832
224,Eff_b5,4,0.9269972451790633,0.8994047619047618,0.8621849848264942,0.8790863126007535,0.9615864410032505,0.024760997226482236,13,0.9691252144082333,0.7552447552447552
224,Eff_b5,5,0.9207988980716253,0.8818423173564689,0.8622839424726216,0.8715640222351614,0.9524073696457915,0.02374625360927765,10,0.9588336192109777,0.7657342657342657
224,Eff_b6,1,0.859504132231405,0.7945926517571884,0.7212033249769099,0.7479398339613393,0.8720567597068456,0.12151806235594369,41,0.9493996569468267,0.493006993006993
224,Eff_b6,2,0.8388429752066116,0.7492239805234328,0.6964639134450455,0.7164318120361746,0.8408311242788087,0.16287829815118077,37,0.9313893653516295,0.46153846153846156
224,Eff_b6,3,0.84366391184573,0.76288237642343,0.6915490170207151,0.7162438929901211,0.8532757979584736,0.1411141801929895,30,0.9425385934819898,0.4405594405594406
224,Eff_b6,4,0.8684573002754821,0.8105174320470288,0.7399722918590843,0.7666779121723204,0.8850771869639794,0.11784698206582941,41,0.9519725557461407,0.527972027972028
224,Eff_b6,5,0.8588154269972452,0.785802770986145,0.7366077318907508,0.7565796521655219,0.8736460794779835,0.1382244564055455,40,0.9382504288164666,0.534965034965035
224,Eff_b7,1,0.8409090909090909,0.7521034658942625,0.7056669745348991,0.7240041175730018,0.8466246446520889,0.16523359443926128,39,0.9288164665523156,0.4825174825174825
224,Eff_b7,2,0.8657024793388429,0.7913164631521714,0.7699234727536615,0.7797698449428502,0.8850651920977822,0.13138966172197222,50,0.9279588336192109,0.6118881118881119
