ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,1,0.9993112947658402,0.9995959595959597,0.9942528735632185,0.9968993065626072,,0.0017155172355457092,50
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,2,1.0,1.0,1.0,1.0,,0.0017386547348681577,50
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,3,1.0,1.0,1.0,1.0,,0.0011297719675236705,50
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,4,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.001414191276470092,50
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,5,1.0,1.0,1.0,1.0,,0.0017403943773018442,50
224,none,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,1,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.0007207483194428073,50
224,none,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,2,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.0008748423102320943,17
224,none,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,3,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.0003411632521370877,13
224,none,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,4,1.0,1.0,1.0,1.0,,0.0005710107356738637,50
224,none,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,5,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.0001977778128491452,50
224,none,reduce_on_plateau,None,Adam,0.0001,FL,R18,1,0.9965564738292011,0.991720684783512,0.9817692946236812,0.9866435543222708,,0.021205915485572505,50
224,none,reduce_on_plateau,None,Adam,0.0001,FL,R18,2,0.9979338842975206,0.9982547993019196,0.9827586206896551,0.9902755518392059,,0.025465711195255772,50
224,none,reduce_on_plateau,None,Adam,0.0001,FL,R18,3,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.0253914357553146,50
224,none,reduce_on_plateau,None,Adam,0.0001,FL,R18,4,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.022818152176282858,50
224,none,reduce_on_plateau,None,Adam,0.0001,FL,R18,5,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.02217237652262137,50
224,basic,reduce_on_plateau,None,Adam,0.0001,CEL,R18,1,1.0,1.0,1.0,1.0,,0.00023894251806144318,50
224,basic,reduce_on_plateau,None,Adam,0.0001,CEL,R18,2,1.0,1.0,1.0,1.0,,0.0005633522738410432,50
224,basic,reduce_on_plateau,None,Adam,0.0001,CEL,R18,3,1.0,1.0,1.0,1.0,,0.0005028931769396171,50
224,basic,reduce_on_plateau,None,Adam,0.0001,CEL,R18,4,1.0,1.0,1.0,1.0,,0.0007209671478833998,50
224,basic,reduce_on_plateau,None,Adam,0.0001,CEL,R18,5,1.0,1.0,1.0,1.0,,3.76140081151194e-05,50
224,basic,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,1,1.0,1.0,1.0,1.0,,0.0002486761677647102,50
224,basic,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,2,1.0,1.0,1.0,1.0,,7.28097194480709e-05,50
224,basic,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,3,1.0,1.0,1.0,1.0,,6.171710706633933e-05,50
224,basic,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,4,1.0,1.0,1.0,1.0,,5.084370907900723e-05,50
224,basic,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,5,1.0,1.0,1.0,1.0,,2.670032274686529e-06,50
224,basic,reduce_on_plateau,None,Adam,0.0001,FL,R18,1,1.0,1.0,1.0,1.0,,0.016447057510167378,50
224,basic,reduce_on_plateau,None,Adam,0.0001,FL,R18,2,1.0,1.0,1.0,1.0,,0.0176796033437047,50
224,basic,reduce_on_plateau,None,Adam,0.0001,FL,R18,3,1.0,1.0,1.0,1.0,,0.011489409770814463,50
224,basic,reduce_on_plateau,None,Adam,0.0001,FL,R18,4,1.0,1.0,1.0,1.0,,0.011211394433277346,50
224,basic,reduce_on_plateau,None,Adam,0.0001,FL,R18,5,1.0,1.0,1.0,1.0,,0.010412964584229958,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,CEL,R18,1,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.0023657040836471107,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,CEL,R18,2,0.9986225895316805,0.9988344988344989,0.9885057471264368,0.9935682756219211,,0.002726519796608955,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,CEL,R18,3,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.001094472303351667,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,CEL,R18,4,0.9986225895316805,0.9990111642743221,0.9936680782415809,0.9963145112409698,,0.002852466492056905,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,CEL,R18,5,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.0005200759201228036,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,1,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.00123888857089656,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,2,0.9986225895316805,0.9936680782415809,0.9936680782415809,0.9936680782415809,,0.001322815555839103,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,3,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.000138552421589561,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,4,0.9986225895316805,0.9936680782415809,0.9936680782415809,0.9936680782415809,,0.0004381548561243473,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,5,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,6.668785676477061e-05,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,FL,R18,1,0.9986225895316805,0.9988344988344989,0.9885057471264368,0.9935682756219211,,0.032432605911558776,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,FL,R18,2,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.024251357639632324,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,FL,R18,3,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.014308814975195814,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,FL,R18,4,0.9993112947658402,0.9994162288382954,0.9942528735632185,0.9968093078789265,,0.02999398667669007,50
224,advanced,reduce_on_plateau,None,Adam,0.0001,FL,R18,5,0.9986225895316805,0.9990111642743221,0.9936680782415809,0.9963145112409698,,0.02372647309537569,50
224,mixup,reduce_on_plateau,None,Adam,0.0001,CEL,R18,1,1.0,1.0,1.0,1.0,,0.00026355469682591066,50
224,mixup,reduce_on_plateau,None,Adam,0.0001,CEL,R18,2,1.0,1.0,1.0,1.0,,0.0004015786732692606,50
224,mixup,reduce_on_plateau,None,Adam,0.0001,CEL,R18,3,1.0,1.0,1.0,1.0,,0.0004916457965273983,50
224,mixup,reduce_on_plateau,None,Adam,0.0001,CEL,R18,4,1.0,1.0,1.0,1.0,,0.00034548701304899646,50
