Model,Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,class_PerStain_0_Accuracy,class_PerStain_0_Precision,class_PerStain_0_Recall,class_PerStain_0_F1,class_PerStain_0_AUC,class_PerStain_0_Uncertainty,class_PerStain_0_Acc_class_0,class_PerStain_0_Acc_class_1,class_PerStain_1_Accuracy,class_PerStain_1_Precision,class_PerStain_1_Recall,class_PerStain_1_F1,class_PerStain_1_AUC,class_PerStain_1_Uncertainty,class_PerStain_1_Acc_class_0,class_PerStain_1_Acc_class_1,class_PerStain_2_Accuracy,class_PerStain_2_Precision,class_PerStain_2_Recall,class_PerStain_2_F1,class_PerStain_2_AUC,class_PerStain_2_Uncertainty,class_PerStain_2_Acc_class_0,class_PerStain_2_Acc_class_1,class_PerStain_3_Accuracy,class_PerStain_3_Precision,class_PerStain_3_Recall,class_PerStain_3_F1,class_PerStain_3_AUC,class_PerStain_3_Uncertainty,class_PerStain_3_Acc_class_0,class_PerStain_3_Acc_class_1,class_PerScanner_0_Accuracy,class_PerScanner_0_Precision,class_PerScanner_0_Recall,class_PerScanner_0_F1,class_PerScanner_0_AUC,class_PerScanner_0_Uncertainty,class_PerScanner_0_Acc_class_0,class_PerScanner_0_Acc_class_1,class_PerScanner_1_Accuracy,class_PerScanner_1_Precision,class_PerScanner_1_Recall,class_PerScanner_1_F1,class_PerScanner_1_AUC,class_PerScanner_1_Uncertainty,class_PerScanner_1_Acc_class_0,class_PerScanner_1_Acc_class_1,class_PerScanner_2_Accuracy,class_PerScanner_2_Precision,class_PerScanner_2_Recall,class_PerScanner_2_F1,class_PerScanner_2_AUC,class_PerScanner_2_Uncertainty,class_PerScanner_2_Acc_class_0,class_PerScanner_2_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,stain_Acc_class_3,num_epochs_trained
Resnet18,0.5,1,0.8784461152882206,0.8234048560135516,0.8017281116828627,0.8117462224481309,0.9064049256356949,0.17172209267900615,0.9348171701112877,0.6686390532544378,0.8682634730538922,0.7539182129346064,0.7839253340495534,0.767306352523909,0.863224333579534,0.1840335355020119,0.9074733096085409,0.660377358490566,0.8596153846153847,0.7956037151702786,0.7646341463414634,0.7782386446618957,0.8909312638580931,0.19656800224352383,0.9292682926829269,0.6,0.9147465437788018,0.8975194221071283,0.8870222929936306,0.892050687371853,0.9567144373673035,0.15244517561956686,0.9490445859872612,0.825,0.8701298701298701,0.7978458162960008,0.7146245059288537,0.7444407567208762,0.8828602227811713,0.1435866612743423,0.9565217391304348,0.4727272727272727,0.8929889298892989,0.8460818301477541,0.8330241187384044,0.8392729321992687,0.9234515484515484,0.1589753264998859,0.9387755102040817,0.7272727272727273,0.8601108033240997,0.7983205202561793,0.7737949623992026,0.784862297355106,0.8932907492978164,0.18993049190170555,0.9257950530035336,0.6217948717948718,0.9016393442622951,0.7076271186440678,0.5742424242424242,0.5986842105263157,0.7363636363636363,0.12609351341401875,0.9818181818181818,0.16666666666666666,0.0018796992481203006,0.0009683052723491805,0.0015375753278979087,0.0011815778447847843,0.3225464582544416,0.00382576989749084,0.0,0.0038461538461538464,0.002304147465437788,0.0,11
Resnet18,0.5,2,0.881578947368421,0.8351669496930666,0.7928970564717172,0.8110699609355183,0.9042059811290581,0.13548206734899446,0.9467408585055644,0.6390532544378699,0.8982035928143712,0.8093735311891492,0.8093735311891492,0.8093735311891492,0.8871281810246425,0.12179821343800193,0.9395017793594306,0.6792452830188679,0.8576923076923076,0.8125,0.7235033259423503,0.7535797535797536,0.8803769401330377,0.1371427281329155,0.9560975609756097,0.4909090909090909,0.8986175115207373,0.8776041666666667,0.8655785562632696,0.8712825905254927,0.9375796178343949,0.13852635279219513,0.9394904458598726,0.7916666666666666,0.8798701298701299,0.8068181818181819,0.7561264822134387,0.7773479475607135,0.8988142292490119,0.14322766383043414,0.9486166007905138,0.5636363636363636,0.8942189421894219,0.8515744640122511,0.8276411088911089,0.8386904761904762,0.9266537034394178,0.12841205187791033,0.945054945054945,0.7102272727272727,0.8656509695290858,0.8169923405893758,0.7610763794509378,0.783350192879394,0.8825541360877049,0.14931292636780985,0.9452296819787986,0.5769230769230769,0.9016393442622951,0.7076271186440678,0.5742424242424242,0.5986842105263157,0.8181818181818181,0.06600735204418538,0.9818181818181818,0.16666666666666666,0.4906015037593985,0.342737949880807,0.4651286213786214,0.3703546843758259,0.6818162512381706,0.006115504894776406,0.0,0.9903846153846154,0.0,0.8701298701298701,16
Resnet18,0.5,3,0.881578947368421,0.8333686325693697,0.7961425574547747,0.8124401913875599,0.9182980404699861,0.14035382302814595,0.9443561208267091,0.6479289940828402,0.907185628742515,0.8250661375661376,0.8300208151480561,0.8275109534043014,0.9034445712750957,0.12655093250718863,0.9430604982206405,0.7169811320754716,0.8653846153846154,0.814001747487986,0.7549889135254988,0.7782164704735444,0.9013747228381375,0.14947036096111102,0.9463414634146341,0.5636363636363636,0.8894009216589862,0.8629854108560395,0.8592091295116773,0.8610644257703082,0.9557059447983015,0.15057265048798812,0.9267515923566879,0.7916666666666666,0.8701298701298701,0.8072727272727274,0.700395256916996,0.7348484848484849,0.8932806324110673,0.1255310781946603,0.9644268774703557,0.43636363636363634,0.8954489544895449,0.8508417508417508,0.8345939774511203,0.8422926389538665,0.9315416726131012,0.13808735519341575,0.9419152276295133,0.7272727272727273,0.8642659279778393,0.8138524590163935,0.7601929872247893,0.7817169934721176,0.9115588475129112,0.14875885434515543,0.9434628975265018,0.5769230769230769,0.9016393442622951,0.7076271186440678,0.5742424242424242,0.5986842105263157,0.7787878787878788,0.0710785072700287,0.9818181818181818,0.16666666666666666,0.5939849624060151,0.29658649480375343,0.4971153846153846,0.3714526375159557,0.6890203591855515,0.002022938023815477,0.0,0.9884615384615385,1.0,0.0,12
Resnet18,0.5,4,0.8828320802005013,0.8316640248711646,0.8055921393025465,0.817481872148269,0.9074162049275172,0.1369405607181827,0.9395866454689984,0.6715976331360947,0.8892215568862275,0.7919312169312169,0.7963808500637883,0.7941259766438435,0.8680588195796682,0.13388189867304576,0.9323843416370107,0.660377358490566,0.8711538461538462,0.8149226006191951,0.781929046563193,0.7964656053746166,0.8884700665188471,0.16994338332050754,0.9365853658536586,0.6272727272727273,0.8894009216589862,0.8657072368421053,0.8540605095541401,0.859581007845992,0.9559447983014863,0.11988783859916084,0.9331210191082803,0.775,0.8863636363636364,0.8283582089552239,0.7529644268774703,0.7822002222446711,0.8766079770032339,0.1085672060737747,0.9604743083003953,0.5454545454545454,0.9028290282902829,0.8611538532841438,0.8475274725274725,0.8540524326866923,0.911133509347795,0.12555689499385653,0.945054945054945,0.75,0.8573407202216067,0.7953372452520664,0.7650629700099665,0.7783579665179436,0.9064057261937121,0.15587964785640318,0.9275618374558304,0.6025641025641025,0.9180327868852459,0.9583333333333333,0.5833333333333334,0.6211180124223603,0.7727272727272727,0.0644962872769042,1.0,0.16666666666666666,0.2719298245614035,0.14563758389261744,0.25,0.18405428329092452,0.4253351033719826,0.0010592418138976423,0.0,0.0,1.0,0.0,16
Resnet18,0.5,5,0.8909774436090225,0.852355623100304,0.8053499026349705,0.82542376717134,0.921661132068372,0.09680984594063423,0.9538950715421304,0.6568047337278107,0.9011976047904192,0.8123072970195273,0.8264620962868461,0.8191068585777355,0.9072047270529778,0.0887013885893013,0.9359430604982206,0.7169811320754716,0.875,0.8379832945836563,0.7610864745011086,0.7898519637650072,0.9063414634146342,0.09736995788385035,0.9585365853658536,0.5636363636363636,0.9032258064516129,0.893560606060606,0.8584660297239914,0.8736413043478262,0.9516188959660298,0.09796046448092907,0.9585987261146497,0.7583333333333333,0.8896103896103896,0.8331049602630858,0.7620553359683795,0.7902243589743589,0.9147682357168523,0.10303581379253321,0.9604743083003953,0.5636363636363636,0.9040590405904059,0.86472152279304,0.8462564221492792,0.8549675235568567,0.9382403310974738,0.0953285324939348,0.9481946624803768,0.7443181818181818,0.8767313019390581,0.8440428963773486,0.768143517260125,0.7967001502807878,0.915171695207031,0.1040352564674744,0.9593639575971732,0.5769230769230769,0.8852459016393442,0.6235632183908046,0.5651515151515152,0.5801376597836775,0.7636363636363637,0.031032164494536885,0.9636363636363636,0.16666666666666666,0.20927318295739347,0.056266846361185986,0.25,0.09185918591859187,0.4689917429766799,0.004642497939686678,1.0,0.0,0.0,0.0,20
Resnet18,0.4,1,0.8834586466165414,0.8421228007819441,0.789762090667068,0.8115223933664335,0.9051843350485884,0.11826138152122273,0.9523052464228935,0.6272189349112426,0.9011976047904192,0.8183098591549296,0.8034982877862082,0.8106022854197097,0.8987443765527429,0.10112262299632546,0.9466192170818505,0.660377358490566,0.8538461538461538,0.7960227272727273,0.7310421286031041,0.7552941176470589,0.8684257206208427,0.13111083614333477,0.9439024390243902,0.5181818181818182,0.8986175115207373,0.8850379659456973,0.8552813163481954,0.8683869544840515,0.9574840764331211,0.11633186707720047,0.9522292993630573,0.7583333333333333,0.8928571428571429,0.854983660130719,0.749802371541502,0.7872527472527473,0.8825727632051742,0.11787189519824572,0.9723320158102767,0.5272727272727272,0.9015990159901599,0.8632465543644716,0.8385186242329099,0.8499446290143964,0.9276883830455258,0.11520365650360759,0.9497645211930926,0.7272727272727273,0.8628808864265928,0.8194585747777237,0.7453791791247621,0.7725506668066786,0.8890776479115702,0.12767435100696253,0.9522968197879859,0.5384615384615384,0.8852459016393442,0.45,0.4909090909090909,0.46956521739130436,0.7787878787878788,0.04760181546576319,0.9818181818181818,0.0,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.5611026245394175,0.00045245676170282533,0.0,1.0,0.0,0.0,12
Resnet18,0.4,2,0.8740601503759399,0.8139527212754261,0.8021914187072559,0.8078199331794516,0.9089731046744621,0.13353850239749834,0.9268680445151033,0.6775147928994083,0.8772455089820359,0.7691154422788606,0.7892634123413684,0.7785110065181878,0.870073188746391,0.12669402065209212,0.9181494661921709,0.660377358490566,0.85,0.7759547899006471,0.7685144124168515,0.7721143473570657,0.8873614190687362,0.14901488463953258,0.9097560975609756,0.6272727272727273,0.8917050691244239,0.8652661064425771,0.8633757961783439,0.8643127498652972,0.9516985138004246,0.1264877702845371,0.9267515923566879,0.8,0.8863636363636364,0.833430799220273,0.7458498023715414,0.7783671539299739,0.906288178224937,0.12476693056026808,0.9644268774703557,0.5272727272727272,0.8917589175891759,0.8420255414867758,0.8363511488511488,0.8391344233986293,0.9253603539317826,0.11535209648122535,0.9340659340659341,0.7386363636363636,0.8545706371191135,0.7876710691448037,0.7725831294735888,0.7796496368186535,0.8962240645102836,0.15614182515400513,0.9169611307420494,0.6282051282051282,0.8688524590163934,0.581140350877193,0.556060606060606,0.5642857142857143,0.7363636363636364,0.10839012501605684,0.9454545454545454,0.16666666666666666,0.19298245614035087,0.04824561403508772,0.25,0.08088235294117647,0.4706328229575618,0.00043593503709226153,0.0,0.0,0.0,1.0,14
Resnet18,0.4,3,0.881578947368421,0.8316900949725765,0.7993880584378322,0.8137824127834296,0.9033052370156442,0.1312464277444646,0.9419713831478538,0.6568047337278107,0.8982035928143712,0.8050539291217258,0.8323373396897871,0.8176387461459405,0.9155307862754315,0.1308943899767651,0.9288256227758007,0.7358490566037735,0.8692307692307693,0.8255681818181818,0.7541019955654102,0.7810526315789474,0.8754767184035477,0.12210676463082412,0.9536585365853658,0.5545454545454546,0.8963133640552995,0.8754307611722217,0.861411889596603,0.868000405528708,0.9473195329087049,0.14307856165031577,0.9394904458598726,0.7833333333333333,0.8636363636363636,0.7746379991224221,0.724901185770751,0.7451737451737452,0.8725116780452749,0.13038623072616992,0.9407114624505929,0.509090909090909,0.897908979089791,0.849123227800874,0.8505556943056943,0.8498361035140385,0.9164496218067646,0.1345768782683321,0.9340659340659341,0.7670454545454546,0.8642659279778393,0.818069306930693,0.7532277792878499,0.778044067456334,0.9006976533478301,0.13234590035453536,0.9487632508833922,0.5576923076923077,0.8688524590163934,0.4491525423728814,0.4818181818181818,0.4649122807017544,0.7363636363636364,0.07384519003339285,0.9636363636363636,0.0,0.019423558897243107,0.006496227996647108,0.017857142857142856,0.009526736324523662,0.37114164616308654,0.012675388187903607,0.0,0.0,0.07142857142857142,0.0,12
Resnet18,0.4,4,0.8765664160401002,0.822403385223941,0.7940447408773201,0.8068170576976839,0.9088696249329733,0.1342768988925965,0.9372019077901431,0.650887573964497,0.8832335329341318,0.7791362530413626,0.8081313368696703,0.7922984931834489,0.8871953266635333,0.11940600553589573,0.9181494661921709,0.6981132075471698,0.8538461538461538,0.7898779461279462,0.7443458980044346,0.7629501667506418,0.8802882483370288,0.14740652827453748,0.9341463414634147,0.5545454545454546,0.8986175115207373,0.8792701863354038,0.8630042462845011,0.87058121882455,0.9553609341825903,0.133476966503998,0.9426751592356688,0.7833333333333333,0.8766233766233766,0.8087884853684111,0.7328063241106719,0.7614738729925817,0.8900467121810995,0.12936339811071504,0.9565217391304348,0.509090909090909,0.8892988929889298,0.8427774933151277,0.8224454117311261,0.831926017126686,0.9169758812615955,0.12315839281753105,0.9403453689167975,0.7045454545454546,0.8614958448753463,0.8026068636409789,0.7700348826673915,0.7842586505707285,0.9036196430189362,0.1523713014001348,0.931095406360424,0.6089743589743589,0.8852459016393442,0.6235632183908046,0.5651515151515152,0.5801376597836775,0.8121212121212121,0.06829635509891738,0.9636363636363636,0.16666666666666666,0.27631578947368424,0.14905859722932893,0.2556818181818182,0.18815529888361365,0.4719991656722709,0.004937769276936131,0.0,0.0,1.0,0.022727272727272728,17
Resnet18,0.4,5,0.8865914786967418,0.8430968726163234,0.8014858750152868,0.8195074374237341,0.9193610596325527,0.12079535783609983,0.9491255961844197,0.6538461538461539,0.9011976047904192,0.8123072970195273,0.8264620962868461,0.8191068585777355,0.8937755992748271,0.10425278837431211,0.9359430604982206,0.7169811320754716,0.8692307692307693,0.8232542599398597,0.7574279379157427,0.7828223270440251,0.8936141906873615,0.12342948200635434,0.9512195121951219,0.5636363636363636,0.9078341013824884,0.8953078845716882,0.8693736730360935,0.8810307017543859,0.9592622080679406,0.12203046933239695,0.9554140127388535,0.7833333333333333,0.8701298701298701,0.7941092364884186,0.7217391304347827,0.7489198663079808,0.9171397772188287,0.13254677096048878,0.9525691699604744,0.4909090909090909,0.9052890528905289,0.8660493827160494,0.8490973312401884,0.857135684699385,0.9320411731126016,0.12277441644550803,0.9481946624803768,0.75,0.8628808864265928,0.8133631562077568,0.7546661230406814,0.7776561163387511,0.9163042493431186,0.1256151894677251,0.9452296819787986,0.5641025641025641,0.9180327868852459,0.9583333333333333,0.5833333333333334,0.6211180124223603,0.793939393939394,0.03737088099212723,1.0,0.16666666666666666,0.20927318295739347,0.05526141628060887,0.25,0.09051490514905149,0.4501401076509098,0.0018916966492750554,1.0,0.0,0.0,0.0,13
