Model,Fold,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,stain_Acc_class_3,num_epochs_trained
Resnet18,1,1.0,1.0,1.0,1.0,1.0,0.0018859950907207516,1.0,1.0,1.0,1.0,15
Resnet18,2,1.0,1.0,1.0,1.0,1.0,0.0021199232584702536,1.0,1.0,1.0,1.0,27
Resnet18,3,0.9993734335839599,0.9995201535508638,0.999251497005988,0.9993850337079299,1.0,0.003471342222189892,0.9970059880239521,1.0,1.0,1.0,10
Resnet18,4,1.0,1.0,1.0,1.0,1.0,0.00250960840749783,1.0,1.0,1.0,1.0,20
Resnet18,5,1.0,1.0,1.0,1.0,1.0,0.0029565128117750566,1.0,1.0,1.0,1.0,13
Resnet34,1,1.0,1.0,1.0,1.0,1.0,0.0018237035384806523,1.0,1.0,1.0,1.0,16
Resnet34,2,1.0,1.0,1.0,1.0,1.0,0.0005018694512934898,1.0,1.0,1.0,1.0,19
Resnet34,3,0.9993734335839599,0.9995201535508638,0.999251497005988,0.9993850337079299,1.0,0.0009197604278910255,0.9970059880239521,1.0,1.0,1.0,28
Resnet34,4,0.9993734335839599,0.9994252873563219,0.9995192307692308,0.9994716970265514,1.0,0.00289744524121699,1.0,0.9980769230769231,1.0,1.0,25
Resnet34,5,1.0,1.0,1.0,1.0,1.0,0.0028060099818417675,1.0,1.0,1.0,1.0,15
Resnet50,1,1.0,1.0,1.0,1.0,1.0,0.0003240802950873662,1.0,1.0,1.0,1.0,13
Resnet50,2,1.0,1.0,1.0,1.0,1.0,0.0013610288670449701,1.0,1.0,1.0,1.0,15
Resnet50,3,1.0,1.0,1.0,1.0,1.0,0.0012331300011642035,1.0,1.0,1.0,1.0,23
Resnet50,4,0.9993734335839599,0.9992537313432835,0.9995192307692308,0.9993856919453712,1.0,0.0011944408842644043,1.0,0.9980769230769231,1.0,1.0,17
Resnet50,5,0.9987468671679198,0.9983870967741936,0.9990384615384615,0.9987092429429261,1.0,0.001061007357077787,1.0,0.9961538461538462,1.0,1.0,15
Resnet101,1,0.9993734335839599,0.9994252873563219,0.9991883116883117,0.9993058089384116,1.0,0.0008079089240421403,1.0,1.0,1.0,0.9967532467532467,11
Resnet101,2,1.0,1.0,1.0,1.0,1.0,0.0005566404302282785,1.0,1.0,1.0,1.0,50
Resnet101,3,0.9993734335839599,0.9991909385113269,0.9995192307692308,0.9993541976373617,1.0,0.0010937467849065487,1.0,0.9980769230769231,1.0,1.0,18
Resnet101,4,1.0,1.0,1.0,1.0,1.0,0.0007100807121886835,1.0,1.0,1.0,1.0,30
Resnet101,5,1.0,1.0,1.0,1.0,1.0,0.0006293691581920162,1.0,1.0,1.0,1.0,19
Resnet152,1,1.0,1.0,1.0,1.0,1.0,0.0013851907608002409,1.0,1.0,1.0,1.0,10
Resnet152,2,1.0,1.0,1.0,1.0,1.0,0.00020315409176644496,1.0,1.0,1.0,1.0,30
Resnet152,3,1.0,1.0,1.0,1.0,1.0,0.00032643949923822474,1.0,1.0,1.0,1.0,18
Resnet152,4,0.9993734335839599,0.9994252873563219,0.9991883116883117,0.9993058089384116,1.0,0.0009650215308831649,1.0,1.0,1.0,0.9967532467532467,18
Resnet152,5,1.0,1.0,1.0,1.0,1.0,0.00010358234022579244,1.0,1.0,1.0,1.0,18
Densenet121,1,1.0,1.0,1.0,1.0,1.0,0.0030168090469708075,1.0,1.0,1.0,1.0,13
Densenet121,2,0.9981203007518797,0.9979054012057927,0.9982899585444496,0.9980942779869212,0.9999991063768945,0.0031075233511115245,0.9970059880239521,0.9961538461538462,1.0,1.0,19
Densenet121,3,1.0,1.0,1.0,1.0,1.0,0.0009783515056962784,1.0,1.0,1.0,1.0,15
Densenet121,4,1.0,1.0,1.0,1.0,1.0,0.002718815646461978,1.0,1.0,1.0,1.0,18
Densenet121,5,1.0,1.0,1.0,1.0,1.0,0.002208456089710034,1.0,1.0,1.0,1.0,13
Densenet169,1,1.0,1.0,1.0,1.0,1.0,0.00169010790686329,1.0,1.0,1.0,1.0,17
Densenet169,2,1.0,1.0,1.0,1.0,1.0,0.0016528833395773462,1.0,1.0,1.0,1.0,38
Densenet169,3,1.0,1.0,1.0,1.0,1.0,0.0010241504721520043,1.0,1.0,1.0,1.0,19
Densenet169,4,1.0,1.0,1.0,1.0,1.0,0.0006640290573250484,1.0,1.0,1.0,1.0,19
Densenet169,5,1.0,1.0,1.0,1.0,1.0,0.0010417683855245172,1.0,1.0,1.0,1.0,15
Densenet201,1,1.0,1.0,1.0,1.0,1.0,0.0019015151530358226,1.0,1.0,1.0,1.0,10
Densenet201,2,1.0,1.0,1.0,1.0,1.0,0.0006336793427282146,1.0,1.0,1.0,1.0,28
Densenet201,3,1.0,1.0,1.0,1.0,1.0,0.0010852301202357783,1.0,1.0,1.0,1.0,19
Densenet201,4,1.0,1.0,1.0,1.0,1.0,0.0009448078145686569,1.0,1.0,1.0,1.0,11
Densenet201,5,0.9993734335839599,0.9992537313432835,0.9995192307692308,0.9993856919453712,1.0,0.0021873908253746024,1.0,0.9980769230769231,1.0,1.0,14
efficientnet_b0,1,1.0,1.0,1.0,1.0,1.0,0.0012922282540378405,1.0,1.0,1.0,1.0,12
efficientnet_b0,2,1.0,1.0,1.0,1.0,1.0,0.0017867738652554322,1.0,1.0,1.0,1.0,14
efficientnet_b0,3,1.0,1.0,1.0,1.0,1.0,0.0005887749288591135,1.0,1.0,1.0,1.0,12
efficientnet_b0,4,1.0,1.0,1.0,1.0,1.0,0.0023692289030590188,1.0,1.0,1.0,1.0,13
efficientnet_b0,5,1.0,1.0,1.0,1.0,1.0,0.0006122692994164473,1.0,1.0,1.0,1.0,12
efficientnet_b1,1,0.9987468671679198,0.9989454409071855,0.9984398086942997,0.9986908426463416,1.0,0.0008737730800981101,0.9970059880239521,1.0,1.0,0.9967532467532467,13
efficientnet_b1,2,1.0,1.0,1.0,1.0,1.0,0.0003900493676659421,1.0,1.0,1.0,1.0,27
efficientnet_b1,3,1.0,1.0,1.0,1.0,1.0,4.9059050203335235e-05,1.0,1.0,1.0,1.0,10
efficientnet_b1,4,1.0,1.0,1.0,1.0,1.0,0.0004881347176265553,1.0,1.0,1.0,1.0,24
