Model,Scale,Cluster,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,num_epochs_trained
Resnet18,0.0,3,1,0.8734335839598998,0.8157622739018088,0.7931392931392931,0.8035287693672787,0.9185214626391096,0.07653585706455654,0.9324324324324325,0.6538461538461539,0.38784461152882205,0.3033353535353535,0.38552618871631705,0.23939897999627166,0.5308021011080594,1.0270241788789836,0.007380073800738007,0.8213296398891967,0.32786885245901637,12
Resnet18,0.0,3,2,0.8740601503759399,0.8212096368480873,0.7838002464699297,0.800049240358395,0.8976467766060526,0.07270789691468336,0.9403815580286169,0.6272189349112426,0.38847117794486213,0.28357511154380816,0.3274973613003012,0.2551599587089393,0.5078814067004226,1.0075419649494166,0.6851168511685117,0.06786703601108034,0.22950819672131148,13
Resnet18,0.0,3,3,0.8728070175438597,0.811676909569798,0.8013965061476374,0.8063420544402211,0.9073033179368022,0.08254365509892268,0.9252782193958664,0.6775147928994083,0.3840852130325815,0.3108871477822178,0.3622281400144731,0.23747670414925023,0.522377616151381,1.0007123165333807,0.01968019680196802,0.8047091412742382,0.26229508196721313,11
Resnet18,0.0,3,4,0.8790726817042607,0.8250879353912967,0.8010437343016528,0.8120642559793827,0.9055864949530108,0.07746267488542503,0.9364069952305246,0.665680473372781,0.2600250626566416,0.27226618842432854,0.4455418631203704,0.2391736000295369,0.5635503014249138,1.0481884093196807,0.14760147601476015,0.3365650969529086,0.8524590163934426,18
Resnet18,0.0,3,5,0.8884711779448622,0.8487407342714599,0.800514576532676,0.8209697910784868,0.9166517718553917,0.07169156590725365,0.9531001589825119,0.6479289940828402,0.44862155388471175,0.3460550411981203,0.3757977750523611,0.34550620449295005,0.5652105552075626,1.0580900515018299,0.5904059040590406,0.3074792243767313,0.22950819672131148,17
Resnet18,-0.01,3,1,0.8703007518796992,0.8158386238188917,0.7760063404859785,0.793076623881758,0.901593117656466,0.0696264955357589,0.9395866454689984,0.6124260355029586,0.33270676691729323,0.32706487790745203,0.32728645709780285,0.2821359049013388,0.4962683394877821,1.0971012815848367,0.3075030750307503,0.3628808864265928,0.3114754098360656,15
Resnet18,-0.01,3,2,0.8665413533834586,0.814205520037424,0.760639598874893,0.7822475109965814,0.8830961138653447,0.06878391849345798,0.9443561208267091,0.5769230769230769,0.3358395989974937,0.353117922106808,0.35414377371601696,0.2931310522189869,0.5188249803397462,1.096730012879667,0.31857318573185733,0.35041551246537395,0.39344262295081966,13
Resnet18,-0.01,3,3,0.8840852130325815,0.8394621332206611,0.7966505489129923,0.8150684802807983,0.9061180045342943,0.07601927098635697,0.9483306836248012,0.6449704142011834,0.29197994987468673,0.30939973335934706,0.3430775729581918,0.25881753360292375,0.5178256842910313,1.095658344261181,0.2890528905289053,0.28116343490304707,0.45901639344262296,15
Resnet18,-0.01,3,4,0.8803258145363408,0.8275902996332116,0.8018386468612713,0.8135777410712266,0.9133686418754293,0.0744326529208954,0.9379968203497615,0.665680473372781,0.30889724310776945,0.31043800018590295,0.37817983352169016,0.2708893708364766,0.5024463492816587,1.0970198773856352,0.3456334563345633,0.24792243767313019,0.5409836065573771,12
Resnet18,-0.01,3,5,0.8834586466165414,0.8451405951405951,0.7854347560229913,0.809607614258777,0.9148667463147101,0.06330097559274475,0.9554848966613673,0.6153846153846154,0.3157894736842105,0.34257400028274637,0.3328685807179583,0.276527451806383,0.48648058584152,1.097371327257798,0.35424354243542433,0.2673130193905817,0.3770491803278688,16
Resnet18,-0.05,3,1,0.8859649122807017,0.8335739715189874,0.8173159236507652,0.8250012651730395,0.9210214391209867,0.09221986354397547,0.9364069952305246,0.6982248520710059,0.33270676691729323,0.3144050460371823,0.3071719028347815,0.2768383111320663,0.49221438245591337,1.0958713670445623,0.30996309963099633,0.3656509695290859,0.2459016393442623,10
