Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,stain_Acc_class_3,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,scanner_Acc_class_0,scanner_Acc_class_1,scanner_Acc_class_2,num_epochs_trained
n4,1,0.8703007518796992,0.8258312475007035,0.7586970019096716,0.7845166247382054,0.8870871393495827,0.09276310862726297,0.9523052464228935,0.5650887573964497,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.4189071894075343,4.751737079665655e-16,0.0,1.0,0.0,0.0,0.4523809523809524,0.15079365079365079,0.3333333333333333,0.20765027322404372,0.43310024707069505,1.0850194943854707e-12,0.0,1.0,0.0,16
n4,2,0.8652882205513784,0.8340017451708386,0.7295533438067375,0.763515958227631,0.8753163187552329,0.07594909835040868,0.9650238473767886,0.4940828402366864,0.20927318295739347,0.05231829573934837,0.25,0.08652849740932643,0.40687034758280494,1.0669490746636286e-22,1.0,0.0,0.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.5037886990568026,5.938805031768527e-23,0.0,0.0,1.0,16
n4,3,0.8671679197994987,0.8274914045909596,0.7437277165783953,0.7736079328756674,0.8846177364276913,0.07881905207431723,0.9578696343402225,0.5295857988165681,0.20927318295739347,0.05231829573934837,0.25,0.08652849740932643,0.4076068723195928,2.6093667812347945e-24,1.0,0.0,0.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.5038565610494359,3.5006842133752397e-25,0.0,0.0,1.0,16
n4,4,0.8671679197994987,0.8225155204190513,0.7502187185445104,0.7772563889876367,0.8843660925108889,0.07946757221981297,0.9531001589825119,0.5473372781065089,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.4043007973830401,1.4911575520114412e-21,0.0,1.0,0.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.497833310856213,6.585628066577196e-22,0.0,0.0,1.0,16
n4,5,0.8558897243107769,0.8159600474959838,0.7127731629994073,0.7451739381553225,0.8804785467681395,0.07369041909572731,0.9610492845786963,0.46449704142011833,0.2719298245614035,0.06798245614035088,0.25,0.10689655172413794,0.37248753428384346,4.538440087569675e-16,0.0,0.0,1.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.4981039874105253,8.007555285726932e-17,0.0,0.0,1.0,17
n3,1,0.850250626566416,0.7818045275563915,0.7448965672947574,0.7605028483311536,0.7565309827753266,0.4004658290700395,0.9276629570747218,0.5621301775147929,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.35219029079033143,0.0858343538500298,0.0,1.0,0.0,0.0,0.4523809523809524,0.15079365079365079,0.3333333333333333,0.20765027322404372,0.2566297443103034,0.06761237068085492,0.0,1.0,0.0,50
n3,2,0.8233082706766918,0.7353174603174604,0.7342969492290758,0.7348043640683224,0.749908279320044,0.4384633099290141,0.8887122416534181,0.5798816568047337,0.20927318295739347,0.05231829573934837,0.25,0.08652849740932643,0.28823532184346623,0.00810332792103052,1.0,0.0,0.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.42918925185355006,0.005748765867054659,0.0,0.0,1.0,50
n3,3,0.8602756892230576,0.804534152701692,0.7480103667886473,0.7702655861194218,0.8222241559345631,0.443278188763331,0.9427662957074722,0.5532544378698225,0.19298245614035087,0.04824561403508772,0.25,0.08088235294117647,0.28251431036893365,0.0007524681707053276,0.0,0.0,0.0,1.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.3917381660056061,0.0005175806039524313,0.0,0.0,1.0,50
n3,4,0.8552631578947368,0.8227925695440741,0.7037210374314447,0.738291379380107,0.7371285312461784,0.4187975213936904,0.9666136724960255,0.4408284023668639,0.2719298245614035,0.06798245614035088,0.25,0.10689655172413794,0.2505139912283696,0.014340140977053016,0.0,0.0,1.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.41914034228568425,0.009914300096592669,0.0,0.0,1.0,50
n3,5,0.8439849624060151,0.7932515248382637,0.6900758224287636,0.7204323617036993,0.7795669843181154,0.3781482430510181,0.9570747217806042,0.4230769230769231,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.2266642987809549,0.0004697040889642836,0.0,1.0,0.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.4132305674406183,0.0003009979794209729,0.0,0.0,1.0,50
