Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
n4,1,0.8609022556390977,0.8097380307136404,0.7419168211023415,0.7673701571560636,0.877896256855533,0.0884843570254672,0.8540100250626567,0.8586588394769591,0.8588292031997363,0.8528226500105133,0.9726113896458785,1.0022088331402061,0.8283208020050126,0.5522666922609335,0.5715843308017567,0.5609328831078085,0.8977372055945884,0.7182063058731856,16
n4,2,0.8671679197994987,0.832212124788544,0.7383185482732995,0.7704407294832827,0.8868449026820068,0.07282581018377521,0.8590225563909775,0.8572216910277861,0.8669773050978382,0.8561691326090365,0.9735016260190377,1.0432676863913903,0.8308270676691729,0.5535332605455893,0.573586082121209,0.5628269924838015,0.8991122273809767,0.7188273884084543,16
n4,3,0.8728070175438597,0.838356755327021,0.7527139914017742,0.7835160040385115,0.8767391652007037,0.07706823304479574,0.8771929824561403,0.8753666146715937,0.889319939766627,0.8783058734933222,0.9759443985799532,1.0015031670153964,0.8847117794486216,0.5890688991078096,0.6128255188369058,0.6006148350421626,0.9208391675278738,0.6525156728604096,16
n4,4,0.8696741854636592,0.8325348872484579,0.7474812090196705,0.7778794813119756,0.8821083526965882,0.06831150567477695,0.8295739348370927,0.8421125697407268,0.8451943097466568,0.8305162776441494,0.9672092886240544,1.0636374201926841,0.8114035087719298,0.5414411976911977,0.5593256625087026,0.5488712074969982,0.9065765330584883,0.6929474156823062,16
n4,5,0.868421052631579,0.8369196149185762,0.7380316271718986,0.7713179987118044,0.8920706296271907,0.0646000950021813,0.8916040100250626,0.8875725613284925,0.899622484913194,0.8905578652895083,0.9812155377861544,0.9729299621215112,0.8796992481203008,0.5856739917487581,0.6086153105298365,0.5968973122990331,0.9074347569683575,0.6710645450328055,17
n3,1,0.8627819548872181,0.8097468056479805,0.7506820255689034,0.7738023511291309,0.8799352781253232,0.08466772629164539,0.9223057644110275,0.9211333262988868,0.9303148392075377,0.9231807782075414,0.9917217460680762,0.7188588301680229,0.8966165413533834,0.5969990461515885,0.6210806844910555,0.6087124006497128,0.9419215557843756,0.5714717106691009,16
n3,2,0.8577694235588973,0.8196231258021097,0.7161291991608734,0.7488643886275964,0.8813110883246631,0.07228418170038314,0.9285714285714286,0.925694158065096,0.9370608324937569,0.9282672803874314,0.993041670495285,0.7437364503110013,0.8872180451127819,0.9237802814995263,0.6498468726570014,0.6693612974586136,0.9498158821392605,0.5823253702017568,16
n3,3,0.8609022556390977,0.8118362831858408,0.7386713201192839,0.7654948202783521,0.8841356149048457,0.08382159614605438,0.9266917293233082,0.9225459981489764,0.9332891960753175,0.9266170187392431,0.9906103323547523,0.7288759368165482,0.900375939849624,0.6001758793969849,0.6243675317639603,0.6115389861852031,0.9455555845450861,0.5275406642333538,16
n3,4,0.87531328320802,0.8414368346047447,0.7586311511650878,0.7889358874250303,0.8924492714085475,0.06809509581070543,0.9078947368421053,0.9091918218192472,0.9195248806630881,0.9095866380007165,0.9877050911478941,0.7550009967401535,0.8966165413533834,0.5968518433962134,0.6207189495717672,0.6085419166692588,0.9461050664980052,0.5357865876286992,16
n3,5,0.8659147869674185,0.8295959715173689,0.7364418020526617,0.768275075987842,0.8834535893359421,0.06486844318991318,0.9291979949874687,0.9264555153541002,0.9365830241325219,0.9296039015268878,0.9929940042112255,0.6724286642041748,0.9135338345864662,0.7753654474318227,0.6379804182220561,0.6308284733594722,0.9415521052520521,0.5072677399543503,17
n2,1,0.8709273182957393,0.8323226197695572,0.7526034562233657,0.7818074668705404,0.886983659608094,0.08659934204895064,0.9761904761904762,0.9748566925049944,0.9778069537667278,0.976177250549689,0.9993074457465203,0.26583641255918716,0.9555137844611529,0.8807893854843601,0.793104522707731,0.8240871970656273,0.9872373722722015,0.2583091985953891,16
n2,2,0.8652882205513784,0.8259300495876278,0.7382080130948909,0.7688133103813024,0.888632280034995,0.07999196334863748,0.981829573934837,0.9793591070942492,0.9848283043014547,0.9818568865371621,0.9996148027065773,0.24579497224335317,0.9624060150375939,0.9078853270184054,0.8383604405046367,0.8662167887187556,0.9896409604618599,0.26303071715436616,16
n2,3,0.8634085213032582,0.816740412979351,0.7424248125605593,0.7697201388318953,0.8877668131061797,0.08543025466194205,0.9799498746867168,0.9792362396584942,0.980913207422286,0.9800465758474242,0.9992962615318405,0.24790935340916984,0.9467418546365914,0.8723311884157247,0.7822583121158398,0.8132355694645055,0.9841954837438188,0.26542113779905563,16
n2,4,0.8740601503759399,0.840869515931469,0.7545907376224119,0.7856488512893636,0.893970893970894,0.07541873148309429,0.974937343358396,0.9727638679585207,0.9797754942083221,0.9755532076840632,0.9994307008219624,0.24435687129808903,0.9467418546365914,0.8514715070907618,0.7768421004222757,0.8035730161661103,0.983428398860937,0.25530696045839874,16
n2,5,0.8615288220551378,0.8268663564265583,0.7228412714838055,0.7562120934604631,0.8708949116188935,0.07045328894562757,0.981203007518797,0.9799797639932325,0.983104133890062,0.9814477730772359,0.9994515401494135,0.21044570588360484,0.9667919799498746,0.9050178495793917,0.8561355174425455,0.8772656361922903,0.9912755558010738,0.22846896990402196,17
n1,1,0.8590225563909775,0.8279971553284979,0.7125967770764151,0.7473786400937041,0.8834465338990225,0.08056031643484557,0.9968671679197995,0.9970679233391584,0.9971378848117307,0.9971007880694387,0.9999762039181671,0.053060257919498234,0.981829573934837,0.9202962506841817,0.9317871667431992,0.9258872648387211,0.9975900173027034,0.06815404869155531,17
n1,2,0.8521303258145363,0.7867258308157099,0.7428434351511275,0.7608563700778403,0.8784630436214147,0.0905687325445419,0.9924812030075187,0.9934674728940784,0.9917579800439081,0.9925780866630745,0.9999304962551268,0.057450011403524,0.981829573934837,0.9314378121673625,0.9265776607177996,0.9289301911871298,0.9976232895779478,0.08153830402341608,17
n1,3,0.8583959899749374,0.8321748065764023,0.70679015249151,0.7427855062624972,0.8801704593559799,0.08191263084131029,0.9912280701754386,0.9913544014270744,0.9916447590462465,0.9914951506573633,0.9998040347005738,0.06389816916078396,0.9805764411027569,0.9277718854812392,0.8957408503743092,0.9105073961157286,0.9964541079022071,0.0820891335031241,16
n1,4,0.8640350877192983,0.8242693897398492,0.7352494332132341,0.7660119705944153,0.8817367663521511,0.08114265770330312,0.9962406015037594,0.9963121833256564,0.9963121833256564,0.9963121833256564,0.9999395224957563,0.053509264157945324,0.981203007518797,0.933474220328527,0.9214232383457298,0.9272680967274658,0.997275115706354,0.07762573927021668,17
n1,5,0.8671679197994987,0.832212124788544,0.7383185482732995,0.7704407294832827,0.8951468001241757,0.08530589410985853,0.9962406015037594,0.9955882352941177,0.9971153846153846,0.9963238037295743,0.99999315945026,0.05981921201059067,0.9880952380952381,0.9622898352178361,0.9262433419484278,0.9428712593140904,0.997679315787944,0.0642675275332352,17
0,1,0.8640350877192983,0.8346565902754642,0.7244310966030423,0.7592253096654842,0.8708902079942803,0.09253499036549856,0.9981203007518797,0.9979054012057927,0.9984624246721021,0.9981807399462529,0.9999973191306835,0.016689199362949166,0.993734335839599,0.9843544471079969,0.9553607919713002,0.9690379625993123,0.9996290476475398,0.024648397165154108,17
0,2,0.8540100250626567,0.7925222781867494,0.7397084693464784,0.7605805279013036,0.8672566579806398,0.11366221619699178,1.0,1.0,1.0,1.0,1.0,0.014004306653043192,0.9918546365914787,0.9731221525884708,0.9589785507772883,0.9658542028420185,0.999545433150301,0.03150698081601035,17
0,3,0.8596491228070176,0.8115892917655032,0.7335490729155887,0.7614477125927508,0.8807443015587813,0.09254347482396681,1.0,1.0,1.0,1.0,1.0,0.015562975692701158,0.9868421052631579,0.950470064273042,0.9202655041399875,0.9343501039153214,0.9991206595064482,0.023715558221055148,18
0,4,0.8621553884711779,0.8121409214092141,0.7437935673229791,0.7694659215060089,0.8883853397428059,0.10240028874672995,0.9987468671679198,0.9990421455938697,0.9985029940119761,0.998769402800113,0.9999986595653417,0.01641355891536257,0.9906015037593985,0.9704100571970448,0.938043988314185,0.9531454346491578,0.9992458671036893,0.02885353842715009,17
0,5,0.8527568922305765,0.8217082593714107,0.6956402103460927,0.7304811543046772,0.8847141607322603,0.08806996827455557,0.9987468671679198,0.9985119047619048,0.9990384615384615,0.9987720357748828,1.0,0.016033165063304898,0.9887218045112782,0.9541505016507585,0.9366589467629384,0.9450784612183742,0.9991876956955181,0.027589363141391366,17
p1,1,0.8665413533834586,0.8324181016901941,0.7357574246714518,0.7683796701630788,0.8771930649758704,0.104660529518605,1.0,1.0,1.0,1.0,1.0,0.003436831639935513,0.9956140350877193,0.9914409133819273,0.9667514342370161,0.9785210226052939,0.9999163993215597,0.010963871583264943,19
p1,2,0.8621553884711779,0.819947031845488,0.7329752307127873,0.7631076135885229,0.8810241672232623,0.11163480619500514,1.0,1.0,1.0,1.0,1.0,0.0037039124690828856,0.9962406015037594,0.9869079386977974,0.977218715468568,0.9819750547458579,0.9998974054847839,0.009316512534399425,20
p1,3,0.8590225563909775,0.8268202141703507,0.7136786107374342,0.7481299119401572,0.8664264682364229,0.11424979300200824,1.0,1.0,1.0,1.0,1.0,0.004184012439209644,0.9931077694235589,0.9785662405431816,0.9548991114542179,0.966178213241102,0.9998355548316322,0.012330293958166831,18
p1,4,0.856516290726817,0.8064269064269064,0.7272344568724659,0.7551174650097454,0.8734560352207411,0.09984050342385767,1.0,1.0,1.0,1.0,1.0,0.002182136528979524,0.9962406015037594,0.9869079386977974,0.977218715468568,0.9819750547458579,0.9998883104333366,0.01208511276303671,23
p1,5,0.8615288220551378,0.8208983957219251,0.7293322734499206,0.7603582437576732,0.8735289414022446,0.12747486073621872,1.0,1.0,1.0,1.0,1.0,0.003812928993302454,0.9943609022556391,0.9902125318791986,0.9558224724883823,0.971869086968501,0.9999320859792168,0.01118576097984086,25
p2,1,0.8446115288220551,0.7893217893217893,0.6980461143357071,0.7268239893105999,0.8650718243478424,0.12181909449952383,1.0,1.0,1.0,1.0,1.0,0.001444613415789439,0.9974937343358395,0.9981634527089073,0.9781420765027322,0.9877797546586758,0.9999836473561136,0.0054174245504657265,23
