Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
0,1,0.8652882205513784,0.8192630916208152,0.7468626823830444,0.7738022176796039,0.8858383270147976,0.0530775159214733,0.31892230576441105,0.343498881958483,0.2522726139033846,0.17087185920887488,0.587567961139872,1.3376932114145343,0.4523809523809524,0.15107763130362,0.3333333333333333,0.20791936645068396,0.45491224668038227,0.9394014514324707,16
0,2,0.8690476190476191,0.8421937824011498,0.7351835824686503,0.7701155128817434,0.881699137355246,0.04354540530746352,0.20238095238095238,0.1156128720912705,0.24087513076068223,0.100278163681222,0.4900524130267492,1.2611256016476957,0.4893483709273183,0.3388029404438226,0.34827349658538137,0.3199987139676204,0.4827608716650678,1.042144256849817,16
0,3,0.8665413533834586,0.8224724778368115,0.7476575949426628,0.7753044264528295,0.8796295425254701,0.046246891940760884,0.218671679197995,0.10598311845546013,0.2636285869818804,0.12759783723639145,0.5612279014500152,1.2016305173558885,0.2901002506265664,0.34711673744135135,0.4672178159954253,0.2624537491020927,0.6356930645789093,1.0491112406413052,16
0,4,0.8715538847117794,0.837771488261996,0.7486735778590983,0.7801763668430335,0.8871929709033782,0.051675996621263515,0.212406015037594,0.20884051129712483,0.23259564947318473,0.20250850199775505,0.461291923823612,1.3352513393334156,0.22055137844611528,0.4098566630809997,0.4145956395307107,0.22596749078481024,0.5887113381374016,1.046712031355716,16
0,5,0.8671679197994987,0.8266124477578223,0.7448095502394145,0.7742272994181392,0.8743403166480089,0.04808003321516887,0.23433583959899748,0.24379350797603289,0.25070181773991895,0.20443601850723608,0.47561507118878094,1.2768879718679602,0.4091478696741855,0.34277315289973515,0.3211588963898358,0.3002466170191842,0.4982126401732739,1.0709567515430376,17
n_1,1,0.8327067669172933,0.7699992102977178,0.6688577717989482,0.6965855082576515,0.7770364342762534,0.5617266627071819,0.0,0.0,0.0,0.0,0.2785995461349011,1.953822970734571e-51,0.011278195488721804,0.00594059405940594,0.09836065573770492,0.011204481792717087,0.3102766939834989,1.8479828849666713e-27,25
n_1,2,0.8226817042606517,0.7650435036923302,0.6278797941693869,0.6524366173230721,0.709052595930424,0.6407855178624049,0.0,0.0,0.0,0.0,0.3394622412092286,0.0,0.0,0.0,0.0,0.0,0.2773861772214387,0.0,50
n_1,3,0.8208020050125313,0.7449903969270166,0.6439967639062661,0.6683918250160553,0.7137750350420033,0.5710720927023334,0.0037593984962406013,0.00146484375,0.0034562211981566822,0.00205761316872428,0.2400623167911563,0.0008568411480233415,0.011278195488721804,0.010452961672473867,0.09836065573770492,0.01889763779527559,0.36676455680742337,0.0008071529658960165,22
n_1,4,0.8383458646616542,0.7664859981933152,0.7081353891308643,0.7296463988570467,0.7944210308463703,0.6055610427462481,0.0,0.0,0.0,0.0,0.3403702892550291,5.581263857685355e-31,0.0012531328320802004,0.0005858230814294083,0.01092896174863388,0.0011120378092855157,0.2966116906220444,0.00011788715902346785,32
n_1,5,0.8276942355889725,0.742437887585417,0.716524303628376,0.7277509774354005,0.8045643973245783,0.5689500219392656,0.0,0.0,0.0,0.0,0.2064613771922626,8.229263775075265e-20,0.011278195488721804,0.005623242736644799,0.09836065573770492,0.010638297872340425,0.28781444150219554,4.236079844645094e-24,23
