Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
0,1,0.8652882205513784,0.8192630916208152,0.7468626823830444,0.7738022176796039,0.8858383270147976,0.0530775159214733,0.31892230576441105,0.343498881958483,0.2522726139033846,0.17087185920887488,0.587567961139872,1.3376932114145343,0.4523809523809524,0.15107763130362,0.3333333333333333,0.20791936645068396,0.45491224668038227,0.9394014514324707,16
0,2,0.8690476190476191,0.8421937824011498,0.7351835824686503,0.7701155128817434,0.881699137355246,0.04354540530746352,0.20238095238095238,0.1156128720912705,0.24087513076068223,0.100278163681222,0.4900524130267492,1.2611256016476957,0.4893483709273183,0.3388029404438226,0.34827349658538137,0.3199987139676204,0.4827608716650678,1.042144256849817,16
0,3,0.8665413533834586,0.8224724778368115,0.7476575949426628,0.7753044264528295,0.8796295425254701,0.046246891940760884,0.218671679197995,0.10598311845546013,0.2636285869818804,0.12759783723639145,0.5612279014500152,1.2016305173558885,0.2901002506265664,0.34711673744135135,0.4672178159954253,0.2624537491020927,0.6356930645789093,1.0491112406413052,16
0,4,0.8715538847117794,0.837771488261996,0.7486735778590983,0.7801763668430335,0.8871929709033782,0.051675996621263515,0.212406015037594,0.20884051129712483,0.23259564947318473,0.20250850199775505,0.461291923823612,1.3352513393334156,0.22055137844611528,0.4098566630809997,0.4145956395307107,0.22596749078481024,0.5887113381374016,1.046712031355716,16
0,5,0.8671679197994987,0.8266124477578223,0.7448095502394145,0.7742272994181392,0.8743403166480089,0.04808003321516887,0.23433583959899748,0.24379350797603289,0.25070181773991895,0.20443601850723608,0.47561507118878094,1.2768879718679602,0.4091478696741855,0.34277315289973515,0.3211588963898358,0.3002466170191842,0.4982126401732739,1.0709567515430376,17
n_1,1,0.8327067669172933,0.7786455633741494,0.6580394351887564,0.6869657201414829,0.8016928344982643,0.6088453878572477,0.0,0.0,0.0,0.0,0.2954328736575761,4.430988064155178e-39,0.011278195488721804,0.006521739130434783,0.09836065573770492,0.012232415902140673,0.28056280627859226,2.3110867879206685e-54,32
n_1,2,0.8383458646616542,0.8287981859410432,0.6432253694697134,0.6746953685913641,0.7448213093009473,0.5434222477420726,0.0,0.0,0.0,0.0,0.22804300286159973,0.000244865551432801,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.48641956123814883,2.3277462702722553e-08,25
n_1,3,0.8439849624060151,0.786853441691363,0.698730491716917,0.726905952551933,0.807765213873811,0.6086342182433869,0.0,0.0,0.0,0.0,0.34337150612700784,0.0003735007654362324,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.39856974094999603,0.0001291781982907553,29
n_1,4,0.8302005012531328,0.7913854604943892,0.6369766041711743,0.6648656606551344,0.7306328256554502,0.5324141378473023,0.0,0.0,0.0,0.0,0.333495177618822,0.0004304443301322869,0.047619047619047616,0.04572998049853347,0.045093320012715134,0.04007695638901313,0.3247847622789605,0.00043872825173666845,26
n_1,5,0.7518796992481203,0.6190982972136223,0.6100130760764245,0.6139417262231995,0.6799324559505555,0.588305741995347,0.0037593984962406013,0.0015806111696522655,0.0034562211981566822,0.0021691973969631237,0.21698858309892685,0.002109105008249837,0.009398496240601503,0.007633587786259542,0.08196721311475409,0.013966480446927373,0.23946565357728486,0.0016844833204999164,28
