Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,scanner_Acc_class_0,scanner_Acc_class_1,scanner_Acc_class_2,num_epochs_trained
n4,1,0.8609022556390977,0.8173696789613074,0.7310984844921496,0.7609540464393277,0.8844860349385236,0.08951005884889307,0.9562798092209857,0.5059171597633136,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.4927748449389972,1.7743315009644387e-25,0.0,0.0,1.0,16
n4,2,0.8671679197994987,0.8353260869565218,0.7350730472902418,0.7684823039005044,0.8920988513748696,0.0764159228360363,0.9642289348171701,0.5059171597633136,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.5051695781167003,2.4046823032789364e-29,0.0,0.0,1.0,16
n4,3,0.8721804511278195,0.8275011660447762,0.7642167053931759,0.789021858305923,0.8885146894196668,0.08518802073667311,0.951510333863275,0.5769230769230769,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.5014549855820213,1.636092727363161e-26,0.0,0.0,1.0,16
n4,4,0.8621553884711779,0.8165970104296095,0.737302565356864,0.7657075748678802,0.8850340072059529,0.07390953750817554,0.9538950715421304,0.5207100591715976,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.5002447625492492,2.205692852258512e-26,0.0,0.0,1.0,16
n4,5,0.8715538847117794,0.8419070341423283,0.7443462432150215,0.7777078731688825,0.896099284108334,0.06904019517925553,0.9650238473767886,0.5236686390532544,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.503767476635726,6.519881793641923e-30,0.0,0.0,1.0,16
n3,1,0.8640350877192983,0.8422311183658999,0.7179400946369272,0.7548944048475892,0.8857089773379366,0.08800953458436768,0.9713831478537361,0.46449704142011833,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.41512779402147554,3.5627904799639384e-11,0.0,0.0,1.0,34
n3,2,0.8659147869674185,0.8258514227512891,0.7407691366967385,0.7708422792854689,0.8932841647773775,0.08414316869459669,0.9578696343402225,0.5236686390532544,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.44181832675416066,6.686400892973003e-10,0.0,0.0,1.0,38
n3,3,0.8690476190476191,0.8290487234656905,0.7492474200618997,0.7783296506122177,0.8767297579514775,0.09262131809570824,0.9570747217806042,0.5414201183431953,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.46586094996241373,8.146285823068633e-16,0.0,0.0,1.0,16
n3,4,0.8627819548872181,0.8103653989560029,0.7496001919078843,0.7732141107586457,0.880605544632694,0.08749292877627964,0.9459459459459459,0.5532544378698225,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.37933003320648845,1.875694197584736e-08,0.0,0.0,1.0,42
n3,5,0.8690476190476191,0.8356239324055537,0.7416745844347654,0.7740067520736915,0.8800928495498632,0.07754958727960883,0.9626391096979332,0.5207100591715976,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.4732616512366555,1.08012188702177e-17,0.0,0.0,1.0,16
