Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
n4,1,0.8552631578947368,0.806160953075614,0.7221122096687708,0.7509159686972807,0.8868754762419919,0.08148349566691793,0.8715538847117794,0.5800945626477542,0.6031302279781801,0.5913880480645753,0.9335765530524339,0.7008163843384064,16
n4,2,0.8771929824561403,0.8456443170488535,0.7609053536655346,0.791835137602713,0.8875692608724282,0.0671813612357527,0.8521303258145363,0.5680779054916986,0.5882496913611795,0.5772980809106282,0.9271552316746643,0.7079952539914566,16
n4,3,0.8659147869674185,0.8090425531914893,0.7678149782222181,0.7852912998544066,0.8878797000968947,0.08186285668475966,0.8395989974937343,0.5600956866262988,0.579326139521783,0.5685953960674651,0.9047082703238116,0.6985742333244053,16
n4,4,0.8646616541353384,0.8216047290937158,0.7410560577981393,0.7699674371430096,0.8857136809625497,0.07253169292180872,0.843358395989975,0.8953310176267509,0.587719139986005,0.5823123688710251,0.9105101896593119,0.7132335865183806,16
n4,5,0.8696741854636592,0.8395760376026951,0.7399083733925362,0.7734959225335968,0.8910193695261569,0.07123962129670502,0.8515037593984962,0.5670898933468767,0.5883564514315504,0.5772513343416029,0.8978105871115843,0.6938533204246645,16
n3,1,0.8640350877192983,0.830196653529274,0.728758431247119,0.7620023763203594,0.8821694998165587,0.07449977495298356,0.8978696741854637,0.9311506753367219,0.6372191522650889,0.640207219251337,0.9521663320058279,0.5714134070129279,16
n3,2,0.8677944862155389,0.8233372105318811,0.7516980084853389,0.7786025020923089,0.8863369112237891,0.07736323260014316,0.9097744360902256,0.9387977393352899,0.6752327379774411,0.7012990146612891,0.968523117472602,0.5269560970929409,16
n3,3,0.87468671679198,0.8329206613703839,0.7668883641734321,0.7926195426195426,0.8926044910207805,0.08199697299113211,0.906641604010025,0.9369979195656976,0.6636422045161371,0.6827347306738788,0.9394585514483081,0.539618263184718,16
n3,4,0.8621553884711779,0.8158088235294118,0.7383843990178831,0.76634556261529,0.8843496298247429,0.07715007634778415,0.9016290726817042,0.9338725698878956,0.6400925882016643,0.6428753823600254,0.9489036423869966,0.5651449163818161,16
n3,5,0.8677944862155389,0.8455946076071257,0.7278976679429168,0.7645008591107347,0.8896153375791385,0.06653316569080214,0.8809523809523809,0.9198622393984804,0.6254772481424464,0.62868739812891,0.938960851274512,0.5951516309426687,16
n2,1,0.8721804511278195,0.8437698202959831,0.7447436994948307,0.778479927498959,0.8847659006030046,0.08396502322647939,0.956140350877193,0.8858567043130332,0.8291542463129096,0.8523256579225814,0.9865667360751166,0.2353755434385133,16
n2,2,0.8728070175438597,0.8393273393273393,0.751632157740755,0.7829207222575474,0.8842861308924658,0.07644552302620683,0.9542606516290727,0.8637248708754819,0.8221462873999341,0.840066435753905,0.9881647041268274,0.2313694750094654,16
n2,3,0.8646616541353384,0.812292722247812,0.7551198953913887,0.7777634520620005,0.8792438453071937,0.07808423274947643,0.9505012531328321,0.8747612756686599,0.8197896156337704,0.8424277172971316,0.9830317398969194,0.2652826392843679,16
n2,4,0.8552631578947368,0.8046322709659696,0.7242758769908091,0.7522962962962962,0.8813557727584876,0.07438153244210413,0.9511278195488722,0.8912774757191319,0.7903378468415264,0.8244771895822419,0.9846367376906887,0.24746650653686156,16
n2,5,0.8715538847117794,0.8501528573366304,0.7367734075878872,0.7732035227694153,0.8919177618272642,0.06836412441272813,0.9454887218045113,0.8476118636607551,0.7713293503672061,0.7979018097416385,0.9837494602353232,0.23247569919264638,16
n1,1,0.8759398496240601,0.8431580259222333,0.7590286074448971,0.789711006353761,0.8853632609288717,0.08420598163531134,0.9849624060150376,0.950031231581047,0.9241416450311816,0.9363407840974961,0.9982511918792057,0.06502601135270906,16
n1,2,0.8677944862155389,0.8265711012378796,0.747370673841262,0.7762084032496552,0.8865556297682994,0.07844358786667213,0.9849624060150376,0.939778168200262,0.9189321390057822,0.9288630109654585,0.9972528291297788,0.054157147011022325,17
