Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
n4,1,0.8822055137844611,0.8535213864306785,0.7705760058701234,0.8014100279834694,0.8919695016980086,0.025665944101396658,0.7525062656641605,0.5155006025978665,0.5148424891451131,0.5036035130061679,0.9102478310906937,0.49570343280970564,17
n4,2,0.8721804511278195,0.8137406900744795,0.7912625469186555,0.8015835096580438,0.8888039623333741,0.037255777926547586,0.8214285714285714,0.5499896800825593,0.565679022441194,0.5552523222090646,0.8748404600504532,0.4956348379214971,16
n4,3,0.8878446115288221,0.8480127982308006,0.7990352865918476,0.819741238157434,0.9060709682881628,0.030122071949155116,0.8107769423558897,0.5441390405637684,0.5575720715655911,0.5470575074835008,0.8989540534226698,0.45653617438773436,17
n4,4,0.8665413533834586,0.820926297980332,0.7498212622647011,0.7765039476097715,0.8808595403618029,0.029074524851638483,0.800125313283208,0.5367717129834431,0.5501885905285645,0.539731670974676,0.8735621049840746,0.48205734131407835,17
n4,5,0.8721804511278195,0.8260766927683095,0.7663803727152143,0.790109926947445,0.8818896341520777,0.031112954292903026,0.8283208020050126,0.5551284669187815,0.5703440967927684,0.5598913982885326,0.8925046050670912,0.4642421758974654,17
n3,1,0.8822055137844611,0.8535213864306785,0.7705760058701234,0.8014100279834694,0.8888792203271841,0.031042799316226537,0.8803258145363408,0.5873735851343614,0.6080951391231364,0.5969178556681798,0.9407786540057502,0.3291425101934019,16
n3,2,0.8790726817042607,0.8320923245238037,0.7869798967084035,0.8061223269500086,0.8932465357804724,0.03236528621556245,0.8897243107769424,0.5923383172237884,0.616157228054275,0.6039708675772935,0.9138218485880293,0.3202252727312173,17
n3,3,0.8709273182957393,0.8188076416337285,0.7731582957827301,0.7922941047146614,0.8904666936341145,0.035060138887300696,0.9053884711779449,0.6030740307245966,0.6274925353131647,0.6148186836809592,0.9397132138147372,0.2605808510470642,17
n3,4,0.8840852130325815,0.8509251601776449,0.7804230439977047,0.8079223726914873,0.8799070563776444,0.025538328830646165,0.9010025062656641,0.6001558405650477,0.624415800944713,0.6118094696325744,0.9501353007899337,0.2749637077286147,17
n3,5,0.8778195488721805,0.8400139220071388,0.7699574792334973,0.7970084146084542,0.8903726211418519,0.031822801676314356,0.8991228070175439,0.598638939485934,0.6217905253844782,0.609910713138377,0.9169646036550594,0.2567472572903265,17
n2,1,0.8765664160401002,0.8439144568325556,0.7605078973857254,0.7910571347875928,0.8780985127138973,0.030350207413624684,0.9805764411027569,0.9626052757031621,0.8658790774820241,0.9031331571818111,0.9951265329596231,0.04758700944518191,16
n2,2,0.8709273182957393,0.8171734835972668,0.7764037967657877,0.7938243114433352,0.8817179518536984,0.030755254277870087,0.974937343358396,0.9289933937825675,0.8719879356279598,0.8962949284797457,0.9939272395596541,0.04766436998500285,17
n2,3,0.881578947368421,0.8406041545134045,0.7842423871835636,0.8072728550572315,0.8915861562920385,0.033564262263967366,0.974937343358396,0.9335807575242928,0.8671918409388898,0.8947093954846262,0.997303412445179,0.049791856652105435,17
n2,4,0.8771929824561403,0.8360273924983488,0.7728055239367457,0.7978200845906454,0.8853679645534849,0.029274205404927908,0.9630325814536341,0.8716488748588143,0.813498060733298,0.836703685000607,0.986900577506182,0.060616091362212694,16
n2,5,0.8728070175438597,0.8206771037711595,0.7786779992662346,0.7965777331013564,0.8851045615751498,0.029784623544239764,0.9780701754385965,0.9636542081970566,0.8895631213702809,0.9203245481202371,0.9970339235926117,0.03789515361536509,17
n1,1,0.8796992481203008,0.8431299603174602,0.7733135153949633,0.8003934392058261,0.9024091965268436,0.03465318627882542,0.9962406015037594,0.9869592080275665,0.977218715468568,0.9820004718896685,0.9999464634164431,0.01169908279980011,17
n1,2,0.87468671679198,0.8416356037501411,0.7560700275632403,0.7870068862435274,0.8951256338134166,0.028141159137755573,0.9943609022556391,0.9903059861838828,0.9558224724883823,0.9719179544665972,0.9999229909277693,0.011571267819830814,18
n1,3,0.8715538847117794,0.8117769965093147,0.7930287579608847,0.8017579906047417,0.8941472798938861,0.038273905457432,0.9918546365914787,0.9824923380980516,0.9389673493483492,0.9588399285064041,0.999838687853305,0.0120303088895277,16
n1,4,0.87531328320802,0.8414368346047447,0.7586311511650878,0.7889358874250303,0.8942013715769371,0.029664183869281584,0.9931077694235589,0.96543353289846,0.9699591889429634,0.96767617110648,0.9996721799592189,0.01418078147271094,17
n1,5,0.87531328320802,0.829359745013992,0.7748586560803755,0.7970756516211062,0.8726681780980422,0.031341022022178346,0.9949874686716792,0.9908257139155076,0.9612869533626993,0.9752207783737599,0.9997883709298087,0.010891428674934521,17
0,1,0.8765664160401002,0.8384853444960242,0.7669988993518405,0.7943857147995435,0.8944365528075936,0.03558464447535745,0.9993734335839599,0.9995904995904996,0.9945355191256832,0.9970403030133711,0.9999822003880315,0.004510375246354309,17
0,2,0.8865914786967418,0.8695838951226498,0.7701126988457305,0.8053730659489104,0.887969068964544,0.0317673841509031,0.9987468671679198,0.9940738386086009,0.9940738386086009,0.9940738386086009,0.9999882637556631,0.0022175568790772,18
0,3,0.8646616541353384,0.7979592420314168,0.7940659071880791,0.7959828139240357,0.8942178342630831,0.04718176881154234,0.9924812030075187,0.988626937138349,0.9394290298654315,0.9616286379159238,0.9998637860737732,0.008053003970944073,16
0,4,0.8765664160401002,0.8448934606906686,0.7594260637247062,0.7904879565159157,0.8811982013339479,0.029369331375293392,0.9968671679197995,0.997802693745152,0.9726775956284154,0.98465440034203,0.9999734958275104,0.004270366631808583,17
0,5,0.8847117794486216,0.8516493187978924,0.781902333938533,0.8092099792099792,0.8961863011636768,0.03617682919454448,0.9962406015037594,0.9919034659143552,0.9722159151113332,0.981694163068545,0.9999439599712052,0.004387904547947237,17
p1,1,0.8765664160401002,0.8479681705069272,0.7561805627416487,0.7887548500881834,0.8829996895607756,0.04110447373377757,1.0,1.0,1.0,1.0,1.0,0.0020086267793817405,17
p1,2,0.8778195488721805,0.842624510944274,0.7667119782504398,0.7953909379526076,0.8918777810180524,0.03487940045865243,0.9981203007518797,0.9887849909772867,0.9936121580915187,0.9911769180061863,0.9999626783126777,0.0021703206945156324,20
p1,3,0.868421052631579,0.8226508172362555,0.7553409657482055,0.7811059907834101,0.8797000968946671,0.03739882957293607,1.0,1.0,1.0,1.0,1.0,0.000518127694566465,18
p1,4,0.87531328320802,0.8378026858411758,0.7629584858091645,0.7911938289875329,0.9021340344869757,0.0382776459149371,0.9987468671679198,0.9894179894179894,0.9990766389658358,0.9941613350633082,0.9999882637556631,0.0022807826303082018,17
p1,5,0.8740601503759399,0.8251933251933252,0.7762274108427955,0.7965771523109517,0.8961698384775308,0.04091571712679559,1.0,1.0,1.0,1.0,1.0,0.0005054709515043321,18
p2,1,0.8771929824561403,0.837602825727261,0.7706418566147073,0.7967671517671517,0.9055841431407042,0.0476063542613103,1.0,1.0,1.0,1.0,1.0,0.0008082716158375251,25
p2,2,0.8740601503759399,0.8321364769453086,0.7654090742326036,0.7913102535729132,0.8954243139763501,0.04871661418224747,1.0,1.0,1.0,1.0,1.0,3.492941104950249e-05,20
p2,3,0.8546365914786967,0.7857004643962848,0.7639062661687096,0.773824445666117,0.8835453100158982,0.04987502052894729,0.9993734335839599,0.9946236559139785,0.9995383194829178,0.9970589726687287,0.9999479103845251,0.0007284975663892416,19
