Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
0,1,0.8540100250626567,0.8235006799854425,0.6985987902277495,0.7335973470631936,0.8606551208361162,0.1351642130139087,0.3433583959899749,0.38599860334418756,0.35078316815591754,0.23686519387667362,0.54445024427115,1.0372551575071558,0
0,2,0.8458646616541353,0.8495015216706894,0.6566495141155775,0.6920253021574607,0.8546368331436206,0.1706262793672884,0.5,0.4359706316228056,0.3528690670404275,0.2560986345206104,0.5499059442488524,0.9721529997151207,0
0,3,0.8458646616541353,0.7962320916905444,0.6945136922512488,0.7250303252718069,0.8546579994543796,0.20390501768257152,0.2111528822055138,0.35177983536469154,0.3130823127403882,0.21186688307954019,0.5110452065228693,1.0403004004182896,0
0,4,0.8489974937343359,0.8010748540267574,0.7019101419553908,0.7325958508266437,0.8476425433439008,0.13997056783214507,0.24812030075187969,0.33714615197677444,0.35347932540221816,0.2339694893063657,0.5103144815787183,1.0465472900324215,0
0,5,0.8471177944862155,0.8039829302987198,0.6909812701667906,0.7231435981435981,0.857477822409949,0.20530890946144872,0.4943609022556391,0.24528946422150308,0.3287027409577488,0.23152605318857555,0.5566907843589547,0.9200079142301754,0
n_1,1,0.8627819548872181,0.8342106670946343,0.7203906830603664,0.7555719817310469,0.8775693549449206,0.04131774843575698,0.34962406015037595,0.33899386738028614,0.3389766848034041,0.2947864685287304,0.49265139110747924,1.0970433848062464,17
n_1,2,0.8640350877192983,0.8161044728772338,0.7460677698234259,0.7723068386446967,0.8969271220402443,0.050695339663594664,0.33145363408521306,0.3417247348097376,0.30666195313694655,0.2822094008373936,0.48776823024227167,1.0966912445708459,16
n_1,3,0.8696741854636592,0.8374444313308942,0.7420720407145747,0.7747720364741641,0.881677971044487,0.03883490052090903,0.34461152882205515,0.3369030757838322,0.3352832406667467,0.29186923987960417,0.5029535447880892,1.0968215858210426,17
n_1,4,0.8734335839598998,0.8283740211883924,0.768257118935852,0.7921676727616858,0.8840791714094882,0.05538029831643851,0.33521303258145363,0.3420080235707104,0.31778399160859144,0.2862255812416584,0.48917077402359027,1.0971061985472688,17
n_1,5,0.8696741854636592,0.8325348872484579,0.7474812090196705,0.7778794813119756,0.8758595873980489,0.045332002852861486,0.32957393483709274,0.3403270057412357,0.35092223180530696,0.2863108550015115,0.5070526205804514,1.0970172408068914,16
n_5,1,0.8690476190476191,0.8410324564887517,0.7362654161296696,0.7707764822624659,0.8805608601988693,0.05095556983616343,0.3558897243107769,0.343480615118042,0.35266891518195415,0.3012602727392549,0.5206432013675515,1.0969591968361867,16
n_5,2,0.8709273182957393,0.8289611562782295,0.7569307908674424,0.7841362719556265,0.881720303666005,0.04544851270618615,0.31390977443609025,0.33461418746469623,0.36382578007697336,0.27781955873563263,0.5371681678987925,1.0969111489786747,17
n_5,3,0.8715538847117794,0.8541325629914942,0.7335279066048297,0.7711975171455006,0.8892508066716212,0.042612412488776716,0.31453634085213034,0.30938251597654337,0.2893488080696165,0.26478442782790607,0.48593840705617336,1.096899782386325,17
n_5,4,0.8721804511278195,0.8289930555555556,0.7620530380711377,0.7879180291561901,0.8882395273797988,0.04807380869069614,0.3176691729323308,0.3273291864524417,0.3000091660241792,0.2716373425984592,0.4818670641596807,1.0971994891883348,17
n_5,5,0.8671679197994987,0.8266124477578223,0.7448095502394145,0.7742272994181392,0.8904972671940998,0.05000886141839008,0.3358395989974937,0.345814221504607,0.3449649956742063,0.29026483207603876,0.5209568204682734,1.097000569328341,16
n1,1,0.8671679197994987,0.8342631922344577,0.736154880951261,0.7691400748900121,0.8854526297965212,0.04904451517430939,0.35463659147869675,0.34871570089780574,0.33668547665904436,0.2995586198660061,0.5284022464697634,1.0971268250071786,16
n1,2,0.8715538847117794,0.8232553194505479,0.7681465837574435,0.7904260082361464,0.8879079218445735,0.04640316725360639,0.33646616541353386,0.34985723961520065,0.3541403664797285,0.2922136563699665,0.5322545054055301,1.0969896510482733,17
n1,3,0.8677944862155389,0.8292041292041292,0.7441251728582046,0.7743658738736083,0.8932089067835673,0.04213379079617529,0.3433583959899749,0.3354275775861013,0.34446883318113414,0.29207590591913374,0.513339825707236,1.0969702572380726,17
n1,4,0.8646616541353384,0.8169467028003613,0.7475470597642544,0.7736574502058997,0.8860405828731621,0.05523134094785784,0.34461152882205515,0.34231614616530176,0.3090290048715845,0.28986599352557646,0.479004954203397,1.0970658860325968,16
n1,5,0.8690476190476191,0.8326731471395303,0.7449200854178231,0.7758871252204586,0.8808242631772044,0.04322749365310988,0.3026315789473684,0.30685183659932724,0.3153380986604925,0.26116997322175056,0.48128722378922556,1.0971399362560306,16
n1_5,1,0.8740601503759399,0.8518682594482294,0.74377240101222,0.7795505882045725,0.8873528941402244,0.049456229215721896,0.34711779448621555,0.3339168358758728,0.3363548164794577,0.29252679332602605,0.5156893845661195,1.0970769266771978,16
n1_5,2,0.8715538847117794,0.8274393061372245,0.7616555817913284,0.7871572237932697,0.8898128898128898,0.04513294104637663,0.3283208020050125,0.3426065364890991,0.37846538040331584,0.2891494913106671,0.5363616325121968,1.0970936877494761,17
n1_5,3,0.8703007518796992,0.8372039873571602,0.7446331643164222,0.7767948290923684,0.8886087619119292,0.04413477578205904,0.34147869674185466,0.336210193658963,0.32276253169870145,0.2886110901174354,0.4999979192865844,1.0970064533097041,17
n1_5,4,0.8796992481203008,0.8406507456460528,0.7765590163780209,0.8019462053132853,0.8938979877893904,0.0519170564097339,0.32456140350877194,0.33372125631801036,0.32004437636674626,0.2790337519456704,0.4890151288555824,1.09714222095233,17
n1_5,5,0.8671679197994987,0.8398428840611838,0.7307457126461652,0.7658003372289086,0.871910894535329,0.043210996998519824,0.33521303258145363,0.33503084274206224,0.3591499813095402,0.2899493759937191,0.5076727670693825,1.0971334727641033,16
n2,1,0.8634085213032582,0.8304473304473304,0.7261973076452715,0.7598694744746403,0.8846741799230488,0.05210187904780221,0.3458646616541353,0.33457998137579015,0.33011859658581144,0.29115703086220746,0.5100085579497428,1.0971314633583245,16
