Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
0,1,0.8771929824561403,0.8508752664556554,0.7554961853604387,0.7889504193788659,0.8726046791657651,0.04850706704782103,0.37406015037593987,0.33424974536983587,0.3350884323974251,0.22141580497665517,0.5047003506563676,1.0562274833994865,16
0,2,0.8709273182957393,0.8323226197695572,0.7526034562233657,0.7818074668705404,0.8837687321850219,0.047201127944806874,0.38721804511278196,0.17172410922410922,0.28876387124526987,0.21016539623184238,0.4726873091412172,0.998328219322874,16
0,3,0.8784461152882206,0.8300948864924382,0.7876642740896135,0.8058345457281895,0.8926044910207807,0.05278905306658954,0.4423558897243108,0.14932318104906936,0.32594644506001846,0.20481578183928054,0.3202756041155833,0.977626499325568,16
0,4,0.87468671679198,0.8329206613703839,0.7668883641734321,0.7926195426195426,0.8861887470484757,0.049102754895117694,0.42606516290726815,0.28574247495416233,0.2944411181998383,0.2667549089886594,0.44792385279064906,1.0605249319836096,26
0,5,0.8627819548872181,0.817448059155502,0.7387818552976924,0.7670906724720078,0.8796318943377766,0.04613664201547908,0.33521303258145363,0.2796618423568518,0.2585451577689111,0.22502927787343444,0.38695200866491036,1.0562455205588481,16
n_1,1,0.8402255639097744,0.7638580931263859,0.733128098512714,0.7463311258278146,0.808557774621123,0.6415657019087061,0.0,0.0,0.0,0.0,0.18357279513823763,1.7159853689635875e-173,36
n_1,2,0.8471177944862155,0.8072499692080306,0.6877357691837329,0.7205906410090834,0.8504082746164194,0.5317183074734213,0.0,0.0,0.0,0.0,0.17018747268197423,5.65211687265933e-52,22
n_1,3,0.8471177944862155,0.7741595226522994,0.7494002878618263,0.7604452712079606,0.8499731893397052,0.5775037849232446,0.0006265664160401002,0.0004257130693912303,0.00041000410004100044,0.0004177109440267335,0.33710720963259155,1.755028121633989e-29,25
n_1,4,0.8214285714285714,0.7318577713926551,0.7125497408302839,0.7211786189128504,0.795860339977987,0.6244998315777965,0.0,0.0,0.0,0.0,0.17819043075753396,3.412526291632331e-244,45
n_1,5,0.8621553884711779,0.8121409214092141,0.7437935673229791,0.7694659215060089,0.8550013640511378,0.5390011432997033,0.0,0.0,0.0,0.0,0.17285124774668925,4.744594626603322e-25,21
n_5,1,0.7844611528822055,0.6350597609561752,0.5430522760839503,0.535902186997038,0.6466825335603616,0.6291037245332995,0.0,0.0,0.0,0.0,0.17808185312452637,1.2630508641342448e-274,37
n_5,2,0.7988721804511278,0.690513083554072,0.6463132990282312,0.6613742764852502,0.7541462450964713,0.6412253369776341,0.0006265664160401002,0.00042517006802721087,0.00041000410004100044,0.0004174493842621582,0.1782868551745469,1.1613086214508993e-42,33
n_5,3,0.7794486215538847,0.6235866149858948,0.5506909624556684,0.5497076023391813,0.6407112821139971,0.6417030208274913,0.0,0.0,0.0,0.0,0.18084055470107915,3.78002298665749e-253,43
n_5,4,0.8020050125313283,0.6961660298024064,0.6299094081899512,0.6478297301826713,0.6837635581979473,0.6487534782963191,0.0006265664160401002,0.00042517006802721087,0.00041000410004100044,0.0004174493842621582,0.18082840148508442,9.312316342740836e-90,40
n_5,5,0.793233082706767,0.6783625730994152,0.6308360222387372,0.6456473589734619,0.6904897413947186,0.6561256817431791,0.0,0.0,0.0,0.0,0.18084055470107915,1.5454473151978827e-101,42
n1,1,0.7794486215538847,0.5891276041666667,0.519317786286112,0.4947968187393661,0.6118051570540259,0.625959801664345,0.0,0.0,0.0,0.0,0.17829900839054158,0.0,45
n1,2,0.7882205513784462,0.6519154557463672,0.5443551801017864,0.5366522366522367,0.6266968325791855,0.647725767487051,0.0,0.0,0.0,0.0,0.17829900839054158,0.0,50
n1,3,0.7781954887218046,0.6190110318570675,0.5488142162350307,0.5471491228070176,0.6497210750604416,0.654976246386526,0.0,0.0,0.0,0.0,0.17829900839054158,0.0,50
n1,4,0.7738095238095238,0.5943756949908635,0.5341318520051551,0.5250904433020027,0.6382207128813464,0.6485776164925152,0.0,0.0,0.0,0.0,0.17810831426392068,3.9532570327170554e-219,50
n1,5,0.7907268170426065,0.6758547008547009,0.5232264983396205,0.49421404796514384,0.633439478462103,0.64116535685162,0.0,0.0,0.0,0.0,0.1833821010116167,0.0003093354941218754,50
n1_5,1,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5525018579317222,0.48651998212460784,0.0,0.0,0.0,0.0,0.24682721916662217,7.25722470213116e-20,16
n1_5,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5521537897103508,0.5121172693702236,0.0,0.0,0.0,0.0,0.21350990548406046,1.6494469789070626e-06,16
n1_5,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5943688206131645,0.4529966263550522,0.002506265664160401,0.0016941973739940705,0.0016400164001640018,0.0016666666666666668,0.22149729994353684,5.961377629813798e-83,16
n1_5,4,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5789503391313346,0.4916105742577375,0.002506265664160401,0.0016941973739940705,0.0016400164001640018,0.0016666666666666668,0.15780112501285745,9.590791121681353e-49,16
