Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,stain_Acc_class_3,num_epochs_trained
n4,1,0.8621553884711779,0.8071231559792622,0.7524482366111325,0.7742283950617284,0.8753657068136707,0.09413840538370467,0.9427662957074722,0.5621301775147929,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.40003333860472573,8.347401937821916e-21,0.0,1.0,0.0,0.0,16
n4,2,0.8590225563909775,0.8033644777821642,0.7439699532459714,0.7670007987246359,0.8722448518828609,0.08121445264865956,0.9435612082670907,0.5443786982248521,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.38943368278985957,1.769074759189116e-19,0.0,1.0,0.0,0.0,16
n4,3,0.8627819548872181,0.815891873225149,0.7409455226197308,0.7683514983215749,0.8801163676729288,0.0759810618518768,0.9523052464228935,0.5295857988165681,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.39404612417340945,4.046717228323452e-22,0.0,1.0,0.0,0.0,16
n4,4,0.8634085213032582,0.8175084466776401,0.74134297889954,0.7690972222222222,0.8747612910508837,0.07363819409454607,0.9531001589825119,0.5295857988165681,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.40425240211156466,6.306565489917002e-26,0.0,1.0,0.0,0.0,16
n4,5,0.8571428571428571,0.8038136162212972,0.7341229151183902,0.7598035591698791,0.882200073376544,0.09124535016774016,0.9475357710651828,0.5207100591715976,0.20927318295739347,0.05231829573934837,0.25,0.08652849740932643,0.40853447451581193,5.258431686452096e-20,1.0,0.0,0.0,0.0,16
n3,1,0.8546365914786967,0.7960069444444444,0.735778590982211,0.758808739040373,0.8735454040883905,0.13102738099334674,0.9419713831478538,0.5295857988165681,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.25216041213236695,0.00012836445834938281,0.0,1.0,0.0,0.0,16
n3,2,0.8634085213032582,0.8191008697616626,0.7391793115775016,0.767837506005445,0.8764451886623832,0.11930986567974826,0.9546899841017488,0.5236686390532544,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.24567069967002717,9.334341882427975e-05,0.0,1.0,0.0,0.0,48
n3,3,0.8583959899749374,0.8156682334456266,0.7230176574067977,0.7538946081374658,0.8825669560963678,0.12488533182699382,0.9578696343402225,0.4881656804733728,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.25603189556906925,0.00015929104425144413,0.0,1.0,0.0,0.0,50
n3,4,0.8634085213032582,0.8326814276733953,0.724033640323233,0.7584692109472188,0.8762076556194203,0.10817689655679191,0.965818759936407,0.4822485207100592,0.2719298245614035,0.06798245614035088,0.25,0.10689655172413794,0.23385407247699286,0.00011121420497554669,0.0,0.0,1.0,0.0,34
n3,5,0.8609022556390977,0.8173696789613074,0.7310984844921496,0.7609540464393277,0.8813581245707942,0.12407890680873289,0.9562798092209857,0.5059171597633136,0.19298245614035087,0.04824561403508772,0.25,0.08088235294117647,0.26590593067625024,0.0002904098807613143,0.0,0.0,0.0,1.0,48
n2,1,0.8621553884711779,0.8573179271708684,0.701602054543231,0.7416556055553757,0.8127228342160469,0.31247831786012037,0.980127186009539,0.4230769230769231,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.19519028061896282,0.034806194522752076,0.0,1.0,0.0,0.0,16
n2,2,0.8208020050125313,0.8120899430155553,0.595314249160403,0.6110739993456211,0.7701009397841977,0.2995312211553542,0.9864864864864865,0.20414201183431951,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.22344292491241913,0.016576683058554805,0.0,1.0,0.0,0.0,18
n2,3,0.8602756892230576,0.7995158432736507,0.7588287033988391,0.7759859010873157,0.8372381256996642,0.3547907533105836,0.9348171701112877,0.5828402366863905,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.22297401785271193,0.0416332144666593,0.0,1.0,0.0,0.0,17
n2,4,0.8627819548872181,0.8109992083089301,0.7485183582468651,0.7726216195645174,0.8580939972342687,0.3421598605462687,0.9467408585055644,0.5502958579881657,0.0012531328320802004,0.0006720430107526882,0.0009615384615384616,0.0007911392405063291,0.14101831543631688,4.745558569234771e-05,0.0,0.0038461538461538464,0.0,0.0,16
n2,5,0.8540100250626567,0.7894363774000412,0.7472813049736127,0.7647785128598601,0.8416195520267918,0.360553916845809,0.9324324324324325,0.5621301775147929,0.0,0.0,0.0,0.0,0.18003279905156416,1.9017923672048333e-37,0.0,0.0,0.0,0.0,17
n1,1,0.8032581453634086,0.7012614678899083,0.6783050018344137,0.688016554650517,0.7671541189640737,0.6189442652560616,0.8950715421303657,0.46153846153846156,0.0,0.0,0.0,0.0,0.2720012417913331,2.9045826509120794e-122,0.0,0.0,0.0,0.0,28
n1,2,0.8151629072681704,0.7279870488825713,0.6425833247100216,0.664766760059952,0.7496730980893876,0.6534040388987091,0.9419713831478538,0.3431952662721893,0.0,0.0,0.0,0.0,0.33092068045902695,0.0,0.0,0.0,0.0,0.0,49
n1,3,0.768170426065163,0.677611837207696,0.7177119688431906,0.6903759196651035,0.791017958438773,0.6418819952090953,0.8052464228934817,0.6301775147928994,0.0,0.0,0.0,0.0,0.22252492559363418,0.0007133338090151204,0.0,0.0,0.0,0.0,33
n1,4,0.8408521303258145,0.7832572684246113,0.6891703746907367,0.7177581285246815,0.8035131372235446,0.6059777982778543,0.9523052464228935,0.4260355029585799,0.0,0.0,0.0,0.0,0.22790218588243927,4.2356150333114306e-228,0.0,0.0,0.0,0.0,26
n1,5,0.8032581453634086,0.7035239659549051,0.6025766455630709,0.6189355159544861,0.7144805787339725,0.5588260386812745,0.9507154213036566,0.25443786982248523,0.0,0.0,0.0,0.0,0.09672584337556457,1.4733022997321945e-56,0.0,0.0,0.0,0.0,20
0,1,0.8659147869674185,0.8224465043749458,0.7450964713408152,0.7733339704383282,0.8755938326074072,0.08764194097421885,0.9546899841017488,0.5355029585798816,0.2901002506265664,0.22762224923862856,0.23065261592763042,0.1636106855899785,0.4979472555916462,1.3257584805891163,0.020958083832335328,0.7711538461538462,0.1175115207373272,0.012987012987012988,16
0,2,0.8634085213032582,0.8145438121047877,0.7456703135436167,0.7715616858559542,0.8878444229122963,0.07911277696284846,0.9499205087440381,0.5414201183431953,0.29448621553884713,0.14135105792051708,0.24072652646754444,0.15717043455218294,0.41513230858390837,1.2689779897815197,0.005988023952095809,0.8173076923076923,0.0,0.1396103896103896,16
0,3,0.8652882205513784,0.825025635455832,0.7392898467559101,0.7694532627865961,0.8754903528659184,0.06955909736318802,0.9578696343402225,0.5207100591715976,0.3157894736842105,0.21405432075174533,0.24960301794979214,0.16028282826855048,0.5110841602950439,1.274932436324271,0.0,0.8980769230769231,0.04838709677419355,0.05194805194805195,17
0,4,0.8690476190476191,0.8206654672623259,0.7611475903331106,0.7846883744347943,0.8877832757923256,0.08263171522690091,0.9483306836248012,0.5739644970414202,0.31265664160401,0.27100194555179546,0.3077626003029229,0.25854647299743666,0.6148920210297254,1.2806297725388907,0.0,0.43653846153846154,0.21658986175115208,0.577922077922078,16
