Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,num_epochs_trained
n4,1,0.8665413533834586,0.8216902539395765,0.7487394286036819,0.7759063830965378,0.8783054721968748,0.0914827246376665,0.868421052631579,0.8662618874631333,0.878729519707644,0.868184121664598,0.9757574426849767,1.0121917520107722,16
n4,2,0.8665413533834586,0.820926297980332,0.7498212622647011,0.7765039476097715,0.8862851713530446,0.08142056118380617,0.8370927318295739,0.8377454644669834,0.8512716072318641,0.8377338310205573,0.9654388007937906,1.060775405727727,16
n4,3,0.8671679197994987,0.8217524841915086,0.7513005522055296,0.7778489789057904,0.8871882672787649,0.07387682346244881,0.8596491228070176,0.8545873516496216,0.866430296813482,0.8573454670607166,0.9753444912673469,1.0208112076993456,16
n4,4,0.8652882205513784,0.8156963791170143,0.7522718506881403,0.7767746493441609,0.879199160873369,0.07602229784581348,0.8840852130325815,0.8855391857289838,0.8956120950712413,0.885799574276183,0.982554618186225,0.9270907833128702,16
n4,5,0.8778195488721805,0.8318216175359032,0.7818576495047083,0.8026494761225651,0.8885970028503966,0.08808903488763543,0.8652882205513784,0.859905494103225,0.8753870103722817,0.8633182214886408,0.9734883422885581,1.0438231984643882,16
n3,1,0.8709273182957393,0.8251749067164179,0.7623399591725384,0.7869534451520594,0.8779926811601019,0.08395676398472622,0.9179197994987469,0.914594213447873,0.9267619959719631,0.9184355621433204,0.9888752696034809,0.7254358525536504,16
n3,2,0.8677944862155389,0.8190225587943846,0.7581890104514539,0.7820652789417655,0.8923387362301389,0.07627865131449481,0.8947368421052632,0.8965001333749406,0.9094778989602247,0.8969284343343717,0.9857281827281732,0.7601487488021341,16
n3,3,0.8671679197994987,0.8375299923655797,0.7329093799682035,0.7671516069093662,0.8678422592449742,0.06628679622646544,0.9298245614035088,0.9262703109066692,0.9344926598898494,0.9293000069754302,0.9926053623457904,0.6918723708466737,17
n3,4,0.8715538847117794,0.8322472477836811,0.7551645798252133,0.7837436968207984,0.8912686616306525,0.06587331434027711,0.9304511278195489,0.9300326298338263,0.9393866166188458,0.931880912803696,0.9941112099055053,0.6445851023379219,17
n3,5,0.8703007518796992,0.858476644742971,0.7262419920790961,0.7654818854185375,0.8794625638517042,0.06215570138716607,0.931077694235589,0.9283571647927399,0.9416162695716491,0.9322544938242021,0.9921005541952201,0.7270828474726707,16
n2,1,0.8583959899749374,0.80908543243345,0.7316723266949511,0.759317781455186,0.8744837771987093,0.08752571450694163,0.981829573934837,0.9808411303437147,0.983158716404322,0.9819618652235426,0.9991876242828616,0.22930402124655982,16
n2,2,0.8665413533834586,0.820926297980332,0.7498212622647011,0.7765039476097715,0.8826798430870829,0.08591437311945702,0.9755639097744361,0.973949343640224,0.9783049286043298,0.9759842834195271,0.9988330878971025,0.2370101761342001,16
n2,3,0.8640350877192983,0.8242693897398492,0.7352494332132341,0.7660119705944153,0.881962540333581,0.0730121782807362,0.9786967418546366,0.9778072591962701,0.9807548702504758,0.9791382714992451,0.9995315591992768,0.18512390157594263,17
n2,4,0.8740601503759399,0.8298833612969738,0.7686545752156612,0.7929299677578645,0.8881689730106018,0.08156973486239771,0.981829573934837,0.9811381214224176,0.9840571853296405,0.9824502885727833,0.9995653215674078,0.2247521122933884,16
n2,5,0.8577694235588973,0.8262834239279635,0.7096381971947583,0.7443691889981069,0.8837381586250365,0.07931147965210189,0.9674185463659147,0.965175452074464,0.9737706119937625,0.9683470853755759,0.9992699345389899,0.2379902500095561,16
n1,1,0.8671679197994987,0.817533979907533,0.7577915541716447,0.7813156017000857,0.884074467784875,0.09319500436252166,0.9931077694235589,0.9929209104507168,0.9933728696453248,0.9931385895871134,0.9999318617735857,0.049024193020392126,16
n1,2,0.8715538847117794,0.8305699481865285,0.7573282471472517,0.7848981655399209,0.8769155511236959,0.08626145582509287,0.9912280701754386,0.9908456225765658,0.991599642872098,0.9912176345545997,0.999719681592104,0.052199914084971474,16
n1,3,0.8671679197994987,0.8162559941403345,0.7599552214936831,0.7824382716049383,0.8896294484529779,0.0887561539850159,0.9906015037593985,0.9901983954297684,0.9919852602487333,0.9910506368122216,0.9998739758468802,0.052782935558461815,16
n1,4,0.8659147869674185,0.8249696632622106,0.7418509703577577,0.7714721586575134,0.8736230138945071,0.08306982458089646,0.9943609022556391,0.9938922384726712,0.9948698756333487,0.9943731390068347,0.9999258056341862,0.054695988878134545,16
n1,5,0.8627819548872181,0.8136935603256847,0.7441910236027882,0.7702082841621594,0.8866943866943867,0.09199677589715634,0.9899749373433584,0.99057137097843,0.9895671693575885,0.9900510624339529,0.9998369651350538,0.055341811402568,16
0,1,0.8527568922305765,0.7907073116497201,0.7367498894648216,0.7579031961348166,0.8702575704838149,0.11637953377556899,0.9987468671679198,0.9990421455938697,0.9985029940119761,0.998769402800113,1.0,0.010757662744519008,16
0,2,0.8665413533834586,0.8201801904544677,0.7509030959257204,0.7770971644389366,0.8798882418791922,0.09844844492552327,0.993734335839599,0.993674004265326,0.993853638876094,0.9937529432348113,0.9999527092603732,0.014847324143117277,16
0,3,0.8640350877192983,0.8161044728772338,0.7460677698234259,0.7723068386446967,0.881160572337043,0.09660810315398134,0.9993734335839599,0.9992537313432835,0.9995192307692308,0.9993856919453712,1.0,0.013893368185552472,16
0,4,0.8627819548872181,0.8151414003766594,0.74202735628075,0.7689749736768529,0.8764781140346752,0.08858766719036189,0.9968671679197995,0.9969475574267848,0.9967929525564256,0.99686235047062,0.9999861726035196,0.011424035038074399,17
0,5,0.8540100250626567,0.8076469696714548,0.7148262951430372,0.7451854125795636,0.8821553889427192,0.10351874165315404,0.9943609022556391,0.9931766597314167,0.9956730769230769,0.9943805018124985,0.9999858388454004,0.017140377406217655,16
p1,1,0.8627819548872181,0.8244794620029645,0.730127186009539,0.7618551538296444,0.8767650351360757,0.0918925229081979,0.9987468671679198,0.9986790186996054,0.9987075424575425,0.9986915008837828,1.0,0.002952920957751715,19
p1,2,0.8602756892230576,0.8210851590522541,0.7242100262462253,0.7561216609667067,0.8698201333947941,0.10716058037135728,0.9987468671679198,0.9987707277752188,0.9987707277752188,0.9987707277752188,0.9999968802396825,0.0038624994780060203,17
p1,3,0.8596491228070176,0.8000211036076061,0.7541039124749532,0.7730162156671027,0.8674612656513109,0.13298810648910367,0.9993734335839599,0.9995201535508638,0.999251497005988,0.9993850337079299,0.9999953935080238,0.0050187700897236015,16
p1,4,0.8596491228070176,0.8276719197707736,0.7151579006782627,0.7496211091905884,0.8765322057177263,0.09712126301123955,0.9993734335839599,0.9992537313432835,0.9995192307692308,0.9993856919453712,1.0,0.00453712323352567,17
p1,5,0.8634085213032582,0.8243636649750187,0.7326883096113865,0.7639437689969606,0.887764461293873,0.10089651057205888,0.9993734335839599,0.9995201535508638,0.999251497005988,0.9993850337079299,0.9999995531884472,0.0028775862059645867,18
p2,1,0.8602756892230576,0.8182723159193748,0.7274555272292829,0.758189540081272,0.884462516815458,0.1009327771273789,0.9993734335839599,0.9992537313432835,0.9995192307692308,0.9993856919453712,1.0,0.0019748611756358323,19
p2,2,0.8590225563909775,0.8156462361168244,0.7255787810086453,0.7560208364048708,0.8747024957432197,0.11356571597326945,1.0,1.0,1.0,1.0,1.0,0.0009634696551132694,18
p2,3,0.8515037593984962,0.7931481679962028,0.7251366402950113,0.749986615348923,0.878472450870641,0.129604898078547,1.0,1.0,1.0,1.0,1.0,0.0010612849545849586,17
