Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,num_epochs_trained
n4,1,0.8790726817042607,0.8308717661654723,0.7891435640304418,0.8070714415902382,0.8985169471594809,0.030240262793590357,0.7468671679197995,0.7797039491145786,0.7768512441778813,0.7491681331103828,0.9498522988291824,0.8483029688940067,16
n4,2,0.8765664160401002,0.840213598392725,0.7648352320298022,0.7932923834700703,0.8977079237260233,0.030046769943704726,0.7738095238095238,0.8013299213084186,0.8019323599425492,0.779015464549351,0.9643122030700568,0.7989754006133539,17
n4,3,0.8703007518796992,0.8087462355990855,0.7943975127233046,0.8011885168212742,0.8886416872842212,0.033625824799714404,0.7857142857142857,0.808751654628465,0.8135719602012821,0.7871150020629537,0.9632173136208212,0.7953879503013342,16
n4,4,0.881578947368421,0.8311560563292665,0.8004698920988513,0.8142237304419857,0.8942977958815063,0.029867526988376247,0.7512531328320802,0.7864511183261184,0.7808523112004858,0.7593982935332413,0.9482332997921963,0.8077249561978146,17
n4,5,0.8765664160401002,0.8429574837430587,0.7615897310467445,0.7916221240609601,0.8922869963593943,0.03476662664209509,0.7105263157894737,0.7509500536997862,0.7459903410284906,0.7123316002053239,0.9419062968713031,0.8283804792481614,16
n3,1,0.8703007518796992,0.8216364927733835,0.7651880038757867,0.7878410548224335,0.8981524162519636,0.03662313928234047,0.9072681704260651,0.9044933671155795,0.9211379274096582,0.9082860993155845,0.9916377699472179,0.41619476883831,17
n3,2,0.8865914786967418,0.8615715576242899,0.7776855344728648,0.809061507924705,0.8889003866379431,0.03367613319252653,0.8916040100250626,0.8983144316405673,0.9094655875320353,0.8940960575170545,0.9900554507190057,0.4316497211887401,16
n3,3,0.8803258145363408,0.8285766226666632,0.7996749795392329,0.8127008021332875,0.8904149537633702,0.030851094262333203,0.9241854636591479,0.9232863955102988,0.9328601642707303,0.9250130223661834,0.993147162697992,0.35193267011250845,16
n3,4,0.8690476190476191,0.81089774488985,0.780620596231456,0.7940768479986073,0.8930913161682392,0.03270436355055145,0.893483709273183,0.8953228505269514,0.9076760416037508,0.8961676826506328,0.9861049673247797,0.40377067590835564,17
n3,5,0.881578947368421,0.8406041545134045,0.7842423871835636,0.8072728550572315,0.9021810707331069,0.028820092921853526,0.893483709273183,0.8940691871629377,0.9067092133769263,0.894083312507466,0.9889361816187987,0.5058195474918782,16
n2,1,0.8765664160401002,0.8289766705663753,0.78106273694509,0.801121746924431,0.8923693097901244,0.03592928408063991,0.9931077694235589,0.9921760885163793,0.9944438046982957,0.9932685791762643,0.999968325871214,0.033500583813000286,17
n2,2,0.8822055137844611,0.840623428858723,0.7868035107854112,0.8090170278637772,0.8966190346280843,0.03239539789480701,0.9931077694235589,0.9934177734964276,0.9927110314834866,0.9930581251870259,0.9999314439877244,0.03755123853210844,17
n2,3,0.8677944862155389,0.8190225587943846,0.7581890104514539,0.7820652789417655,0.8788863698365958,0.029009503063547427,0.9887218045112782,0.9871439380311569,0.9904616980952213,0.9887195574766734,0.9998528877695672,0.04684999048402435,16
n2,4,0.8646616541353384,0.7981904351572597,0.7929840735270599,0.7955341298385796,0.8897752608159848,0.03776140358028207,0.9849624060150376,0.9840922512019398,0.985798214003497,0.9849267115796123,0.9996027773143281,0.04754183099294621,16
n2,5,0.8865914786967418,0.8626415641197203,0.7766037008118456,0.8085462155077857,0.8997986848665582,0.034441558741701815,0.993734335839599,0.9934056702545448,0.9941213726393368,0.9937562023380999,0.9998421934208378,0.03259260644558947,17
n1,1,0.8627819548872181,0.8038593741070044,0.7625821958401144,0.7800040912023414,0.8918189857103883,0.03934492427125883,0.9993734335839599,0.9991909385113269,0.9994239631336406,0.9993064629798911,1.0,0.00623015067922426,16
n1,2,0.8771929824561403,0.8409756097560975,0.7663145219706307,0.7946150937053533,0.8884347278012437,0.03155689840184533,0.9956140350877193,0.9950905253978016,0.9960359625404536,0.9955563400849308,0.9999874017854715,0.009225779992405097,17
n1,3,0.87468671679198,0.8426218525634543,0.754988193902221,0.7864225781845919,0.8876115934939465,0.035642258845024144,0.9974937343358395,0.997066115473799,0.9980769230769231,0.9975643084718002,0.9999906678427894,0.0056262137378970045,17
n1,4,0.8703007518796992,0.808103353490929,0.7965611800453429,0.8020832147668979,0.884053301474116,0.04121630969771295,0.9981203007518797,0.9984674329501916,0.9976913057002877,0.9980752117385246,1.0,0.007426061846527628,16
n1,5,0.87531328320802,0.840496973695976,0.759712984826107,0.7895066126301069,0.8959652308068597,0.034960143963327125,0.9987468671679198,0.9983870967741936,0.9990384615384615,0.9987092429429261,0.9999986595653417,0.005010510679389959,17
0,1,0.8803258145363408,0.8422119416603947,0.7769564726578302,0.8027225984733517,0.8982229706211606,0.04062399666448547,0.9993734335839599,0.9995201535508638,0.999251497005988,0.9993850337079299,0.9999995531884472,0.001805183767492185,17
0,2,0.881578947368421,0.8364358553571574,0.7907333891496787,0.8101405170650344,0.900015051598762,0.03912066309635869,0.9981203007518797,0.997588424437299,0.9985576923076923,0.9980651282203075,1.0,0.001980283764049793,17
