Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,num_epochs_trained
0,1,0.868421052631579,0.8226508172362555,0.7553409657482055,0.7811059907834101,0.8698695214532318,0.056411664456193625,0.27882205513784464,0.14047487065779748,0.2177830234281847,0.1357114329800769,0.48234050367416154,1.3359983897509864,16
0,2,0.8621553884711779,0.8121409214092141,0.7437935673229791,0.7694659215060089,0.8759042718318737,0.052832391825950696,0.287593984962406,0.40495793444366734,0.2358792441381296,0.1598647215739879,0.4334556081152954,1.273325430024027,16
0,3,0.8715538847117794,0.8340039679213123,0.7530009125031749,0.7825721453373428,0.8795378218455141,0.04280919265805361,0.3132832080200501,0.19197180134680136,0.2622303100125681,0.18150760454279996,0.5142805035082455,1.2772451390219153,17
0,4,0.8715538847117794,0.8387694159214578,0.7475917441980791,0.779566179665893,0.8808901139217881,0.04784993903538886,0.28132832080200504,0.22134127341454804,0.27829891882311236,0.21687506373178156,0.572733130534875,1.2927369727022644,17
0,5,0.8671679197994987,0.8302564433822104,0.7404822155953378,0.7717218821853039,0.8789804423288586,0.04263899538459871,0.18483709273182958,0.09758285234794065,0.2040791688512376,0.12227332609147851,0.42914046709850684,1.2851209161217017,17
n_1,1,0.8546365914786967,0.7977235772357724,0.7325330899991533,0.7568913354063367,0.8378072642778525,0.589353580699955,0.0,0.0,0.0,0.0,0.27228926864567615,2.5451321590836476e-250,27
n_1,2,0.8427318295739349,0.7863179641280872,0.6936082445132219,0.7223126059274304,0.78599683916426,0.6262008139044267,0.0,0.0,0.0,0.0,0.33078015168885416,4.286743143747136e-234,44
n_1,3,0.8264411027568922,0.7411056152074192,0.7557572365264673,0.7478565134443789,0.8174241070168672,0.6098256366050011,0.0,0.0,0.0,0.0,0.16536065907396216,1.741071610436584e-16,29
n_1,4,0.8264411027568922,0.7447649154539169,0.783884911712966,0.760162101020184,0.8438114410965089,0.6325951189692225,0.0,0.0,0.0,0.0,0.32149858284516664,6.197261136813213e-197,32
n_1,5,0.8395989974937343,0.7770534373858826,0.692702796775195,0.719631093544137,0.8113211540813351,0.5920825111942262,0.0,0.0,0.0,0.0,0.31611066399565796,5.902190890178248e-246,30
n_5,1,0.7694235588972431,0.6212771491741449,0.5789503391313346,0.5874393094767129,0.6311887940847217,0.6578679448221316,0.0,0.0,0.0,0.0,0.2832904932285478,0.00014221024536794618,50
n_5,2,0.7725563909774437,0.6134535621806183,0.5582191136489779,0.5616867420657348,0.6378373674753764,0.644116304356738,0.0,0.0,0.0,0.0,0.32666837986811975,7.74228277826942e-192,50
n_5,3,0.7443609022556391,0.6276377746773631,0.6376986105492892,0.6319612590799031,0.6934859502732806,0.6670464339990065,0.0,0.0,0.0,0.0,0.33463807687167046,0.0,50
n_5,4,0.7280701754385965,0.609274142109963,0.6208737453081344,0.6138548951048951,0.6669880810152303,0.6625326152630602,0.0,0.0,0.0,0.0,0.33463807687167046,0.0,50
n_5,5,0.7894736842105263,0.6592983089296762,0.558132096593635,0.5588185931715344,0.6050107713003641,0.6448088993067059,0.0,0.0,0.0,0.0,0.3206692627228505,5.9338003456458795e-257,42
