Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,num_epochs_trained
0,1,0.868421052631579,0.8226508172362555,0.7553409657482055,0.7811059907834101,0.8698695214532318,0.056411664456193625,0.27882205513784464,0.14047487065779748,0.2177830234281847,0.1357114329800769,0.48234050367416154,1.3359983897509864,16
0,2,0.8621553884711779,0.8121409214092141,0.7437935673229791,0.7694659215060089,0.8759042718318737,0.052832391825950696,0.287593984962406,0.40495793444366734,0.2358792441381296,0.1598647215739879,0.4334556081152954,1.273325430024027,16
0,3,0.8715538847117794,0.8340039679213123,0.7530009125031749,0.7825721453373428,0.8795378218455141,0.04280919265805361,0.3132832080200501,0.19197180134680136,0.2622303100125681,0.18150760454279996,0.5142805035082455,1.2772451390219153,17
0,4,0.8715538847117794,0.8387694159214578,0.7475917441980791,0.779566179665893,0.8808901139217881,0.04784993903538886,0.28132832080200504,0.22134127341454804,0.27829891882311236,0.21687506373178156,0.572733130534875,1.2927369727022644,17
0,5,0.8671679197994987,0.8302564433822104,0.7404822155953378,0.7717218821853039,0.8789804423288586,0.04263899538459871,0.18483709273182958,0.09758285234794065,0.2040791688512376,0.12227332609147851,0.42914046709850684,1.2851209161217017,17
n_1,1,0.8239348370927319,0.7377044209504943,0.6935847263901562,0.7105140345271638,0.7981298388538207,0.5455406085167863,0.0,0.0,0.0,0.0,0.0906802563646305,1.907584172778703e-35,20
n_1,2,0.7337092731829574,0.6898225828634301,0.7759075643691029,0.6903880624810858,0.846424304569101,0.6258194285542993,0.0,0.0,0.0,0.0,0.25541002934403173,3.110754191824441e-82,30
n_1,3,0.8446115288220551,0.822887811634349,0.6666729381661508,0.7010468436079095,0.7979487493062153,0.5800407334860369,0.0,0.0,0.0,0.0,0.16551034094413658,6.924465575476473e-35,31
n_1,4,0.7568922305764411,0.6890802428899792,0.7592402705524878,0.7006080202982858,0.8171489449769992,0.6379150808471997,0.0,0.0,0.0,0.0,0.3020951597367537,0.0016406999175097084,41
n_1,5,0.806390977443609,0.7108453333271805,0.7149109603860735,0.7128251115853712,0.7924502121334701,0.6498141084547308,0.0,0.0,0.0,0.0,0.20124037734731126,0.00010532283001198116,48
n_5,1,0.8045112781954887,0.7182429952281904,0.5838985522243441,0.5949344023323615,0.6933424897225801,0.636789893631489,0.0,0.0,0.0,0.0,0.27980536311702364,7.068885632688225e-07,40
n_5,2,0.7575187969924813,0.6380686352753392,0.6395541904591678,0.6387980989373628,0.7220980987949313,0.6615854841232663,0.0,0.0,0.0,0.0,0.28597705490970327,1.1345829662233022e-82,50
n_5,3,0.7775689223057645,0.6237073688107543,0.5581532629043942,0.5609863820390136,0.5787386760237438,0.6412151077119405,0.0,0.0,0.0,0.0,0.34362511196857987,0.0,50
n_5,4,0.800125313283208,0.694779068144519,0.5951801958589289,0.6095647899410348,0.7117242547106801,0.6441557405721411,0.0,0.0,0.0,0.0,0.2929917500557133,2.914316906243809e-153,42
n_5,5,0.7694235588972431,0.6550908579992506,0.6557605290636965,0.6554234340788927,0.7173309752495272,0.6655499919046386,0.0,0.0,0.0,0.0,0.24741440815570392,2.4670530824990756e-22,50
