Model,rmv_inf_grad,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
R18,True,1,0.8966942148760331,0.8403384362540707,0.8533205800997854,0.8465553147659158,0.9398702272316004,0.0809593064549184,14,0.927763272410792,0.7788778877887789
R18,True,2,0.8925619834710744,0.8327617892802335,0.8531396220562004,0.8422512925655197,0.9317012641211903,0.07536796115867885,11,0.9208006962576153,0.7854785478547854
R18,True,3,0.8980716253443526,0.8383802678606496,0.871200958215926,0.8530010506960861,0.9341456338845372,0.07463660587288323,14,0.917319408181027,0.8250825082508251
R18,True,4,0.8884297520661157,0.8274056378404204,0.8444536359641186,0.8354303560834182,0.9341887191330098,0.08859201114099041,10,0.9199303742384682,0.768976897689769
R18,True,5,0.9022038567493113,0.845529737169123,0.8713819162595111,0.8573819886173417,0.937911284601045,0.061273626340329165,15,0.9242819843342036,0.8184818481848185
R18,False,1,0.9035812672176309,0.8567230194324282,0.847952158140096,0.8522210461423936,0.9340824421867774,0.06305242574650743,14,0.9434290687554395,0.7524752475247525
R18,False,2,0.8980716253443526,0.841280458671763,0.859050918146645,0.8496524240762093,0.9373684104702898,0.07515503327975478,16,0.9260226283724978,0.7920792079207921
R18,False,3,0.9049586776859504,0.8532478954642543,0.8634025282423804,0.8581657875289861,0.9396433115896448,0.07915134707763175,15,0.9347258485639687,0.7920792079207921
R18,False,4,0.90633608815427,0.8543993669537693,0.8679178622823118,0.860876818721097,0.9435181116022829,0.0621548844507071,13,0.9338555265448216,0.801980198019802
R18,False,5,0.9097796143250688,0.8707215992198927,0.8494385992124016,0.8594294911919877,0.9361447894136672,0.06973132294656491,13,0.9530026109660574,0.7458745874587459
R34,True,1,0.9042699724517906,0.8507805199802122,0.8666123792535911,0.858304168494954,0.9420072555558427,0.05140381082174692,19,0.9312445604873804,0.801980198019802
R34,True,2,0.9077134986225895,0.8582447280689641,0.8651431722806746,0.8616218369059642,0.9396777797884227,0.04716057016243712,12,0.938207136640557,0.7920792079207921
R34,True,3,0.9070247933884298,0.8606103078873599,0.8562029832226042,0.8583775918410697,0.9363487262564376,0.05081849364854507,13,0.9434290687554395,0.768976897689769
R34,True,4,0.8987603305785123,0.840249965474382,0.8679911072047153,0.8528564032530368,0.9434463028548286,0.07059258067533984,11,0.9208006962576153,0.8151815181518152
R34,True,5,0.9042699724517906,0.856388052062857,0.8520323311704538,0.8541813723400643,0.9417429993652107,0.05884987705051293,13,0.9416884247171453,0.7623762376237624
R34,False,1,0.9070247933884298,0.8574628552059206,0.8634930072641729,0.8604226909610839,0.9368341533892292,0.0652766256822937,13,0.938207136640557,0.7887788778877888
R34,False,2,0.9097796143250688,0.8642534722222222,0.8615886392816827,0.8629105666798558,0.9391004374588895,0.049034172537052285,14,0.9442993907745866,0.7788778877887789
R34,False,3,0.9008264462809917,0.8471667294886291,0.8571465501641549,0.851999082638942,0.940683102252784,0.051155707296859164,15,0.9321148825065274,0.7821782178217822
R34,False,4,0.9090909090909091,0.8618291480269269,0.8635834862859654,0.8627017238217496,0.9450002441497414,0.052193103836746906,14,0.9416884247171453,0.7854785478547854
