Model,rmv_inf_grad,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var,Acc_class_0_mean,Acc_class_1_mean
Resnet18,True,0.8955922865013776,0.00528107149109661,2.7889716094073365e-05,0.8368831736808995,0.006995582276946256,4.893817139352456e-05,0.8586993425191084,0.012040762058023444,0.00014497995093793695,0.8469240005456564,0.008665651232517169,7.509351128362634e-05,0.9355634257942766,0.00327403515138297,1.071930617249131e-05,0.07616590219356001,0.010026717374177404,0.00010053506130163099,0.9220191470844211,0.7953795379537955
Resnet18,False,0.9000688705234161,0.006545317086382124,4.284117576128577e-05,0.8460788208146605,0.012835580785890453,0.00016475213411112018,0.8581258778619375,0.009916984271019039,9.834657703163903e-05,0.8514965570388956,0.008193768019611051,6.713783435920081e-05,0.9368574194234045,0.0035252232357894583,1.24271988621499e-05,0.07300745244689659,0.008956640163123373,8.022140301167468e-05,0.9301131418624891,0.7861386138613862
Resnet34,True,0.9015151515151517,0.0059643622850167905,3.5573617466930715e-05,0.8484707854413586,0.011706170472337084,0.00013703442712741665,0.8592827167834276,0.00896206194714014,8.03185543443773e-05,0.8533537962149363,0.007357073223760628,5.412652641977559e-05,0.9381198172036525,0.0036835188648128314,1.356831122743201e-05,0.06725999045516985,0.012129921479950834,0.00014713499510977265,0.9317667536988685,0.7867986798679869
Resnet34,False,0.9028236914600554,0.005851968536156469,3.424553574816529e-05,0.8506481957946349,0.011189523979808377,0.00012520544689470668,0.8602310231023103,0.008138166502319412,6.622975401947376e-05,0.8550201006884721,0.007285803072962798,5.308292641799414e-05,0.938468807716281,0.0036179842527846143,1.3089810053397443e-05,0.0642445590286264,0.012096586500363804,0.00014632740496078382,0.9333333333333333,0.7871287128712872
Resnet50,True,0.9035812672176309,0.005541830902007944,3.071188974645019e-05,0.8513449864352255,0.010209237423871682,0.00010422852877698211,0.8622892054218476,0.008785038053376599,7.71768935992749e-05,0.8563861606791066,0.007262920363010872,5.2750012199437974e-05,0.9395565666227198,0.004283226475878144,1.834602904366351e-05,0.06197823433595108,0.011978331058425384,0.0001434804149452382,0.9331592689295038,0.7914191419141914
Resnet50,False,0.9034894398530761,0.005550260331958556,3.0805389752512695e-05,0.8509033360767636,0.010521126082027482,0.00011069409403391896,0.8634056878272683,0.008924404772842849,7.964500054954022e-05,0.8565989824130064,0.006973720270237696,4.863277440752413e-05,0.9399707594780368,0.004137608846463236,1.711980696633083e-05,0.06104855829212762,0.011112197787172946,0.00012348093966125132,0.932201914708442,0.7946094609460945
Resnet101,True,0.9027154663518299,0.0059016827954157455,3.4829859817706205e-05,0.8492329670259751,0.011160457628583077,0.0001245558144793982,0.8643457258818014,0.00900033639155829,8.100605516120852e-05,0.8560432253593087,0.00702121065071623,4.929739900173103e-05,0.9398759719313968,0.0038929220263643526,1.5154841903352737e-05,0.061127673083850545,0.010638552992480186,0.0001131788097738091,0.9302001740644038,0.7984912776991985
Resnet101,False,0.9020488980716254,0.005952089580382682,3.5427370372900086e-05,0.848077082532075,0.011192652448434707,0.00012527546883145144,0.8639332307904419,0.008701812882602118,7.572154744382018e-05,0.8552270447147021,0.0070091526699443876,4.912822115058854e-05,0.9398315941254699,0.0040089323358772615,1.607153847364232e-05,0.06053506022650892,0.010362064504555367,0.00010737238079656625,0.9293516100957355,0.7985148514851484
Resnet152,True,0.9018977655341293,0.00604078681784949,3.649110537870416e-05,0.847545521995517,0.011281722020332072,0.00012727725174404558,0.8648434904412982,0.009058301596031628,8.205282780466913e-05,0.8553151530488209,0.007109249732659345,5.054143176131697e-05,0.9399719722479934,0.004026911140823821,1.6216013336091002e-05,0.06009038996301717,0.010012607344232215,0.0001002523058297729,0.9284401895367953,0.8012467913458012
Resnet152,False,0.9024242424242425,0.005990176337013918,3.588221254852148e-05,0.8483488564451507,0.011026689858898459,0.0001215878892443341,0.8653003472671027,0.008863982945232066,7.857019365336491e-05,0.8559992476509222,0.007145265565537419,5.105482000205477e-05,0.9402012942808641,0.003977898604433694,1.5823677307155525e-05,0.05896464985896672,0.010135473064600468,0.0001027278142432416,0.9290165361183638,0.8015841584158416
Densenet121,True,0.9030052592036065,0.00613963342994104,3.7695098654049574e-05,0.8495042029601008,0.011322951241702604,0.00012820922482197452,0.865216808887155,0.008977423586370383,8.059413424911926e-05,0.8565964550945349,0.007386202831455048,5.455599226739457e-05,0.9405247574365792,0.004210609073428925,1.772922876924199e-05,0.0587724814246534,0.01001150167235746,0.00010023016573561621,0.9300735817707096,0.8003600360036005
